Iteration,Cost,Gradient Norm,Alpha Update Norm,Phi Update Norm,QSVC Accuracy,Phis
1,-1.857120010796718,30.674860313434035,0.20827187544050685,0.009999999688553174,0.8666666666666667,"[-0.07880603242062287, -0.05115564185750235, -0.026337675908671917, 0.00029180826175289405]"
2,-1.1419747813230496,16.143129760991595,0.10648391202308488,0.009999999468846863,0.8666666666666667,"[-0.08688241800970882, -0.05639829493884509, -0.0290368756986508, 0.0003217140439323374]"
3,-0.7887115823885729,9.756756550213135,0.06439621501453009,0.009999999202870017,0.8666666666666667,"[-0.0949588033839816, -0.06164094788074538, -0.03173607541683721, 0.00035161982531635606]"
4,-0.5864951623919694,6.687162114376526,0.04247381905779372,0.00999999893588337,0.8666666666666667,"[-0.10303518854262567, -0.06688360068267384, -0.03443527506295859, 0.0003815256059019303]"
5,-0.4536649719486699,4.956863910179149,0.030490199856687474,0.009999998676957948,0.8666666666666667,"[-0.11111157349215156, -0.07212625334885667, -0.03713447463919082, 0.00041143138571316776]"
6,-0.3652101106524705,3.825676451448633,0.02242653835670433,0.00999999841036062,0.8666666666666667,"[-0.11918795822636316, -0.07736890587527176, -0.0398336741434631, 0.000441337164727125]"
7,-0.3009524839044933,3.0746606550379783,0.017084511561832442,0.00999999815610352,0.8666666666666667,"[-0.1272643427552269, -0.08261155826838867, -0.04253287357910631, 0.00047124294298070646]"
8,-0.2583742358482992,2.530836290651804,0.013149523586367857,0.009999997902049307,0.8666666666666667,"[-0.13534072707890668, -0.08785421052831376, -0.045232072946175206, 0.0005011487204745189]"
9,-0.2258334990499687,2.1706568145791847,0.0106760838532229,0.009999997699901817,0.8666666666666667,"[-0.14341711123932432, -0.09309686268225993, -0.047931272258680456, 0.0005310544973637934]"
10,-0.19856042015286937,1.895913819304054,0.008930237139593096,0.009999997514885166,0.8666666666666667,"[-0.15149349525031539, -0.09833951473920828, -0.05063047152124601, 0.0005609602736997611]"
