Iteration,Cost,Gradient Norm,Alpha Update Norm,Phi Update Norm,QSVC Accuracy,Phis
1,-4.415242590099271,103.74198057191708,0.19897818465171618,0.009999999915038828,0.875,"[0.0027215339797103722, 0.15348955357895416]"
2,-3.4458022356904485,72.13715737528774,0.1294704089109846,0.009999999885775523,0.875,"[0.002898816809281478, 0.16348798188113495]"
3,-2.7257063811002515,51.6051008136733,0.08925737848352787,0.009999999850094646,0.875,"[0.0030760996382200234, 0.17348641014764046]"
4,-2.2143769822629067,38.93194685788471,0.06603293591586495,0.009999999812749452,0.875,"[0.0032533824664965024, 0.18348483837680665]"
5,-1.8597777121298542,30.85468230431156,0.050428971083476944,0.009999999776605345,0.875,"[0.0034306652941322084, 0.19348326656983442]"
6,-1.6029839814217335,25.459433697848496,0.03902817598578927,0.009999999743255333,0.875,"[0.0036079481211766765, 0.2034816947295174]"
7,-1.405717440937671,21.669934720778553,0.031622333796801155,0.009999999713179466,0.875,"[0.0037852309476879504, 0.21348012285912926]"
8,-1.24619323338711,18.823830954332713,0.025731655042147063,0.00999999968527773,0.875,"[0.003962513773704574, 0.22347855096084376]"
9,-1.116972270306659,16.57217256439527,0.021514587353345434,0.009999999658510431,0.875,"[0.00413979659924666, 0.23347697903579517]"
10,-1.0121125093438994,14.767226588213392,0.018125824572489412,0.009999999633182901,0.875,"[0.004317079424339733, 0.24347540708542303]"
