Iteration,Cost,Gradient Norm,Alpha Update Norm,Phi Update Norm,QSVC Accuracy,Phis
1,-3.009989364000344,103.76269426693489,0.13784466927114197,0.00999999994154497,0.825,"[0.17296489659212558, 0.13360930916172473]"
2,-3.0130076935424004,82.06293292488708,0.10072188661367329,0.009999999929470973,0.825,"[0.180878751109438, 0.13972248389080236]"
3,-2.8268936106400933,66.1530449350104,0.07444613149885868,0.009999999916337533,0.825,"[0.1887926056163568, 0.14583565861185127]"
4,-2.5709180333522053,54.370454243672874,0.058198061148190865,0.00999999990247475,0.825,"[0.1967064601123048, 0.15194883332442563]"
5,-2.3362650404502907,45.74302444600883,0.0467822329546122,0.009999999888745077,0.825,"[0.20462031459738733, 0.15806200802860682]"
6,-2.1243430526009957,39.46903582960803,0.039009772038870794,0.009999999876047409,0.825,"[0.21253416907242112, 0.16417518272502568]"
7,-1.9386782280893915,34.67047837428759,0.03284016745641246,0.009999999864146531,0.825,"[0.22044802353803672, 0.17028835741416934]"
8,-1.7859721809423235,30.81634832041706,0.027256516080946622,0.009999999852643,0.825,"[0.2283618779945486, 0.17640153209628068]"
9,-1.6586136425940308,27.778524835893666,0.02302588115481534,0.009999999842193675,0.825,"[0.23627573244279104, 0.18251470677200415]"
10,-1.5623989100945326,25.35512909833852,0.01908373059807542,0.009999999832901955,0.825,"[0.24418958688368014, 0.18862788144204745]"
