Iteration,Cost,Gradient Norm,Alpha Update Norm,Phi Update Norm,QSVC Accuracy,Phis
1,-4.014818614347095,100.81680935896613,0.22762548857728185,0.00999999991520195,1.0,"[-0.052827638397025395, 0.14886624253561603]"
2,-2.8974505295979025,64.64886272611362,0.14155328900472847,0.009999999876133987,1.0,"[-0.05617196919102267, 0.15829043741173152]"
3,-2.191569537278618,42.62751875408989,0.09606309476215288,0.00999999982332992,1.0,"[-0.05951629996736052, 0.16771463223808342]"
4,-1.7350420979421133,30.732152002884064,0.06728429523934164,0.009999999768717509,1.0,"[-0.06286063072543417, 0.17713882701296751]"
5,-1.4134501696902901,23.588403967688816,0.0485645286515121,0.009999999714705346,1.0,"[-0.06620496146544437, 0.1865630217369495]"
6,-1.1721480498794243,18.876799617825593,0.037813242150499485,0.009999999661505513,1.0,"[-0.06954929218766279, 0.19598721641079492]"
7,-0.983955793078335,15.518210973133066,0.030662026741907347,0.009999999608045297,1.0,"[-0.07289362289200234, 0.2054114110342584]"
8,-0.8437603687630856,12.944841511371845,0.024980402379722426,0.009999999551684442,1.0,"[-0.07623795357749295, 0.2148356056046063]"
9,-0.7387852972961213,11.040028580706112,0.020347703728329582,0.00999999949739302,1.0,"[-0.07958228424482672, 0.2242598001237889]"
10,-0.6602254882733175,9.62374435642143,0.016832879656537333,0.00999999944765638,1.0,"[-0.08292661489552691, 0.23368399459609873]"
