Iteration,Cost,Gradient Norm,Alpha Update Norm,Phi Update Norm,QSVC Accuracy,Phis
1,-1.811986406431738,30.115900089598014,0.2039741053552241,0.009999999864091466,0.8666666666666667,"[0.10651781074948878, -0.13607622441002265, -0.08102215499359684, 0.09770124377961885]"
2,-1.0049314056376826,15.87794142992904,0.11085826383028338,0.009999999754243455,0.8666666666666667,"[0.11148569244586373, -0.14242268027314792, -0.08480094539457658, 0.10225792981428902]"
3,-0.6347330942785522,8.697840258702053,0.06797000591034487,0.009999999571361952,0.8666666666666667,"[0.11645357405138532, -0.14876913602020825, -0.08857973572644923, 0.10681461576562583]"
4,-0.4284377108757679,5.454027575334066,0.04505507445978952,0.00999999934558846,0.8666666666666667,"[0.1214214555447453, -0.15511559162398242, -0.0923585259730068, 0.11137130161408475]"
5,-0.3024734758260177,3.6711102027981317,0.032139432946421596,0.009999999067544448,0.8666666666666667,"[0.1263893368999763, -0.1614620470512972, -0.09613731611449736, 0.11592798733584773]"
6,-0.2200479489661175,2.5857215111259184,0.023847882883282823,0.00999999872817102,0.8666666666666667,"[0.1313572180866106, -0.1678085022632301, -0.0999161061277458, 0.1204846729029689]"
7,-0.17024049134997565,1.8768509886528104,0.01765299700839206,0.009999998314079505,0.8666666666666667,"[0.13632509906752913, -0.17415495721236166, -0.10369489598451775, 0.12504135828140156]"
8,-0.13166998160057622,1.4481738919253688,0.014118287108216025,0.0099999978946505,0.8666666666666667,"[0.14129297984008027, -0.18050141189530444, -0.10747368568279626, 0.1295980434687136]"
9,-0.1017855031477494,1.1179428468682786,0.01088394450394063,0.00999999736863858,0.8666666666666667,"[0.14626086035131491, -0.18684786624441607, -0.1112524751823059, 0.1341547284163385]"
10,-0.08138900450591285,0.8633530113799478,0.00827032020179275,0.009999996708422068,0.8666666666666667,"[0.15122874053456178, -0.1931943201745242, -0.11503126443233354, 0.13871141306312346]"
