Iteration,Cost,Gradient Norm,Alpha Update Norm,Phi Update Norm,QSVC Accuracy,Phis
1,-1.5836015019259153,27.450609808415376,0.14557496930198802,0.009999999900217472,1.0,"[0.12138554451892657, 0.1091043943681516, 0.25911003934187393, -0.07584054919147037]"
2,-1.0286484983515565,17.398109275243872,0.09934408675021365,0.009999999847557482,1.0,"[0.12523318318617777, 0.11256274921758318, 0.267323223295498, -0.07824451772636597]"
3,-0.7107980632291884,10.546640637316628,0.0709157863029193,0.009999999756252624,1.0,"[0.12908082181829814, 0.11602110403543829, 0.27553640717413175, -0.08064848623931214]"
4,-0.5295092003607106,6.961088405304384,0.05194957917475506,0.009999999641713114,1.0,"[0.13292846040634784, 0.11947945881368159, 0.28374959095869207, -0.08305245472472339]"
5,-0.3964280989985409,5.030742609164568,0.04046705681621606,0.009999999518590414,1.0,"[0.1367760989470244, 0.12293781354934469, 0.29196277464212944, -0.08545642318053634]"
6,-0.2975311501052117,3.6954632633785502,0.03184415761442632,0.009999999363083677,1.0,"[0.14062373742786757, 0.12639616823122804, 0.30017595819784626, -0.08786039159896596]"
7,-0.22196274295502452,2.7335174726328297,0.025227110379018623,0.009999999162511755,1.0,"[0.1444713758315379, 0.1298545228437465, 0.3083891415888297, -0.09026435996917871]"
8,-0.16755645278883366,2.0219166916166698,0.02013931859261638,0.00999999889792044,1.0,"[0.14831901413340307, 0.13331287736475989, 0.3166023247624994, -0.09266832827578454]"
9,-0.12381865878856438,1.5186652977119446,0.017189575780573382,0.009999998570782835,1.0,"[0.1521666523093975, 0.13677123177263747, 0.32481550766748496, -0.09507229650374752]"
10,-0.09482052055634219,1.1182999985958166,0.01382974290955178,0.009999998108183014,1.0,"[0.15601429030740022, 0.14022958602053162, 0.3330286901925288, -0.09747626462050295]"
