Iteration,Objective Function Value,Training Accuracy,Test Accuracy,Learning Rate,Perturbation
1,0.3138720987650005,83.0,73.33333333333333,0.22281013761220986,0.2956202752244197
2,0.24279307679119838,96.0,100.0,0.338813507069784,0.527627014139568
3,0.23400837922477172,100.0,96.66666666666667,0.4112121735341265,0.6724243470682529
4,0.23411261244417944,100.0,96.66666666666667,0.4494346137252099,0.7488692274504198
5,0.23402303908941163,99.0,96.66666666666667,0.48678829895544473,0.8235765979108896
6,0.23421615752268543,100.0,96.66666666666667,0.5242054077379331,0.8984108154758659
7,0.2341018241709223,100.0,96.66666666666667,0.5733637025246843,0.9967274050493686
8,0.23421678977528326,99.0,93.33333333333333,0.6341804330336458,1.1183608660672917
9,0.2341267696738121,99.0,96.66666666666667,0.6952741923988487,1.2405483847976975
10,0.23453028993305672,100.0,96.66666666666667,0.7764950547861559,1.4029901095723118
