Iteration,Objective Function Value,Training Accuracy,Test Accuracy
1,0.4689615320914327,99.0,96.66666666666667
2,0.4544169242520602,99.0,96.66666666666667
3,0.4767443524599081,99.0,96.66666666666667
4,0.39401062519604435,99.0,96.66666666666667
5,0.45817329418829894,99.0,96.66666666666667
6,0.44628526073008445,99.0,96.66666666666667
7,0.40827562733789313,99.0,96.66666666666667
8,0.482213221813703,99.0,96.66666666666667
9,0.4340422981446463,99.0,96.66666666666667
10,0.4599429501084236,99.0,96.66666666666667
11,0.43726464470333753,99.0,96.66666666666667
12,0.46466100811638106,99.0,96.66666666666667
13,0.4567824125487897,99.0,96.66666666666667
14,0.5349423732263275,99.0,96.66666666666667
15,0.41740198776325266,99.0,96.66666666666667
16,0.4980437776978222,99.0,96.66666666666667
17,0.4634636021930738,99.0,96.66666666666667
18,0.4356777062694722,99.0,96.66666666666667
19,0.3890718027007155,99.0,96.66666666666667
20,0.4872269425349795,99.0,96.66666666666667
21,0.45289884895474797,99.0,96.66666666666667
22,0.4662003056797641,99.0,96.66666666666667
23,0.4646576546515036,99.0,96.66666666666667
24,0.4330046595443014,99.0,96.66666666666667
25,0.46999532552565737,99.0,96.66666666666667
26,0.44697824522292856,99.0,96.66666666666667
27,0.510723780654279,99.0,96.66666666666667
28,0.4534027867610726,99.0,96.66666666666667
29,0.47733574991587185,99.0,96.66666666666667
30,0.494341496690367,99.0,96.66666666666667
31,0.4000830528811765,99.0,96.66666666666667
32,0.46671962842548864,99.0,96.66666666666667
33,0.4349427536457371,99.0,96.66666666666667
34,0.4623587556895167,99.0,96.66666666666667
35,0.40365445651111187,99.0,96.66666666666667
36,0.4985036399445402,99.0,96.66666666666667
37,0.4999011055918966,99.0,96.66666666666667
38,0.4232417557393689,99.0,96.66666666666667
39,0.514804939454407,99.0,96.66666666666667
40,0.3971095899321135,99.0,96.66666666666667
41,0.44432008414234575,99.0,96.66666666666667
42,0.4650144640631194,99.0,96.66666666666667
43,0.4702862328864184,99.0,96.66666666666667
44,0.435666297991606,99.0,96.66666666666667
45,0.46357227993591044,99.0,96.66666666666667
46,0.4391264040628819,99.0,96.66666666666667
47,0.45943347626252234,99.0,96.66666666666667
48,0.4318447788296901,99.0,96.66666666666667
49,0.4334724009597866,99.0,96.66666666666667
50,0.4607350254037307,99.0,96.66666666666667
51,0.46079253347871935,99.0,96.66666666666667
52,0.43413864441876837,99.0,96.66666666666667
53,0.4899521137107324,99.0,96.66666666666667
54,0.3987926200238865,99.0,96.66666666666667
55,0.34063432366566304,99.0,96.66666666666667
56,0.2719472132449889,99.0,96.66666666666667
57,0.31042652605539056,99.0,96.66666666666667
58,0.3539933608584033,99.0,96.66666666666667
59,0.3364333418046654,99.0,96.66666666666667
60,0.3504818844452749,99.0,96.66666666666667
61,0.3811418624002495,99.0,96.66666666666667
62,0.3011305025869577,99.0,96.66666666666667
63,0.31769495806682824,99.0,96.66666666666667
64,0.297418324765439,99.0,96.66666666666667
65,0.24775598377798502,99.0,96.66666666666667
66,0.36320969802369535,99.0,96.66666666666667
67,0.4674027381499687,99.0,96.66666666666667
68,0.4076608022537435,99.0,96.66666666666667
69,0.39694499851910864,99.0,96.66666666666667
70,0.45228176597208775,99.0,96.66666666666667
71,0.40218103184276033,99.0,96.66666666666667
72,0.40045861400029836,99.0,96.66666666666667
73,0.44756035543592587,99.0,96.66666666666667
74,0.37815729740408494,99.0,96.66666666666667
75,0.41067953668763685,99.0,96.66666666666667
76,0.36886829797628806,99.0,96.66666666666667
77,0.3309616779904494,99.0,96.66666666666667
78,0.4821271682625748,99.0,96.66666666666667
79,0.5111675321708719,99.0,96.66666666666667
80,0.4896594654960781,99.0,96.66666666666667
81,0.4674707540818882,99.0,96.66666666666667
82,0.5198062371583528,99.0,96.66666666666667
83,0.5331569797987573,99.0,96.66666666666667
84,0.38819425955621795,99.0,96.66666666666667
85,0.4589192715554965,99.0,96.66666666666667
86,0.5005898394118364,99.0,96.66666666666667
87,0.4845507491173823,99.0,96.66666666666667
88,0.4460235159497759,99.0,96.66666666666667
89,0.44779212589420203,99.0,96.66666666666667
90,0.4320320115408927,99.0,96.66666666666667
91,0.44151401577631305,99.0,96.66666666666667
92,0.4620806839043713,99.0,96.66666666666667
93,0.40265702929717306,99.0,96.66666666666667
94,0.4908030586061514,99.0,96.66666666666667
95,0.465644415000145,99.0,96.66666666666667
96,0.32715486144250633,99.0,96.66666666666667
97,0.2775368389421789,99.0,96.66666666666667
98,0.27135171541174663,99.0,96.66666666666667
99,0.2811514071957001,99.0,96.66666666666667
100,0.24956704080864558,99.0,96.66666666666667
101,0.2501207062434297,99.0,96.66666666666667
102,0.277124581169518,99.0,96.66666666666667
103,0.26221842138706025,99.0,96.66666666666667
104,0.2576202656464307,99.0,96.66666666666667
105,0.2775404990005502,99.0,96.66666666666667
106,0.2584298053099216,99.0,96.66666666666667
107,0.2397597328247892,99.0,96.66666666666667
108,0.27385402062269415,99.0,96.66666666666667
109,0.27150280889250616,99.0,96.66666666666667
110,0.2586302266498529,99.0,96.66666666666667
111,0.24029211263527928,99.0,96.66666666666667
112,0.2671730032501561,99.0,96.66666666666667
113,0.24469139370967283,99.0,96.66666666666667
114,0.23540464202970982,99.0,96.66666666666667
115,0.2500828191937907,99.0,96.66666666666667
116,0.24630874726072258,99.0,96.66666666666667
117,0.24873369287044583,99.0,96.66666666666667
118,0.23658235667324692,99.0,96.66666666666667
119,0.23761172994016164,99.0,96.66666666666667
120,0.23852231846952393,99.0,96.66666666666667
121,0.2664539397294122,99.0,96.66666666666667
122,0.2732202788356164,99.0,96.66666666666667
123,0.24363604957377216,99.0,96.66666666666667
124,0.2546411967898825,99.0,96.66666666666667
125,0.2492764190309834,99.0,96.66666666666667
126,0.25798447799564805,99.0,96.66666666666667
127,0.24283455168260043,99.0,96.66666666666667
128,0.2398695370428566,99.0,96.66666666666667
129,0.2434042901852858,99.0,96.66666666666667
130,0.24295892501796312,99.0,96.66666666666667
131,0.2454585957098957,99.0,96.66666666666667
132,0.24750195216078502,99.0,96.66666666666667
133,0.24644305063012772,99.0,96.66666666666667
134,0.24746851940237807,99.0,96.66666666666667
135,0.2469253150677575,99.0,96.66666666666667
136,0.24982378615772974,99.0,96.66666666666667
137,0.2397416122376242,99.0,96.66666666666667
138,0.24181747667546316,99.0,96.66666666666667
139,0.26309844828869694,99.0,96.66666666666667
140,0.2586994788204324,99.0,96.66666666666667
141,0.2567098296214654,99.0,96.66666666666667
142,0.24888415713553158,99.0,96.66666666666667
143,0.2550802370767478,99.0,96.66666666666667
144,0.2586517405105278,99.0,96.66666666666667
145,0.2605184283854274,99.0,96.66666666666667
146,0.2598932610060969,99.0,96.66666666666667
147,0.24676715703168622,99.0,96.66666666666667
148,0.2506401533533974,99.0,96.66666666666667
149,0.24886490958518073,99.0,96.66666666666667
150,0.25591165683235306,99.0,96.66666666666667
151,0.23395572920062374,99.0,96.66666666666667
