Iteration,Objective Function Value,Training Accuracy,Test Accuracy
1,0.4933312001643341,70.75,75.0
2,0.5293204338943462,70.75,75.0
3,0.49762367989009176,70.75,75.0
4,0.5218820977832423,70.75,75.0
5,0.5496754064401139,70.75,75.0
6,0.4796786280346575,70.75,75.0
7,0.4783953850511692,70.75,75.0
8,0.5294352964169288,70.75,75.0
9,0.5203126486310494,70.75,75.0
10,0.5124744016297931,70.75,75.0
11,0.5043409899998241,70.75,75.0
12,0.5172891509807284,70.75,75.0
13,0.49842635437812144,70.75,75.0
14,0.5283934779752176,70.75,75.0
15,0.5194712076188772,70.75,75.0
16,0.5077557571008298,70.75,75.0
17,0.5273111045397301,70.75,75.0
18,0.47325678054402326,70.75,75.0
19,0.5260061892761577,70.75,75.0
20,0.506685908237534,70.75,75.0
21,0.5417182584958025,70.75,75.0
22,0.4980831107215319,70.75,75.0
23,0.5496754064401139,70.75,75.0
24,0.4796786280346575,70.75,75.0
25,0.4938016043088227,70.75,75.0
26,0.5374114377091584,70.75,75.0
27,0.5402470269166614,70.75,75.0
28,0.48492787847636476,70.75,75.0
29,0.5168124871472228,70.75,75.0
30,0.5196727957876824,70.75,75.0
31,0.5202982617538033,70.75,75.0
32,0.5013986986476988,70.75,75.0
33,0.5257216522487405,70.75,75.0
34,0.5176951522692648,70.75,75.0
35,0.4899933103716064,70.75,75.0
36,0.5426773095225998,70.75,75.0
37,0.5421543480954096,70.75,75.0
38,0.47536647098675006,70.75,75.0
39,0.5219169098266998,70.75,75.0
40,0.49010005781484745,70.75,75.0
41,0.48948772776609983,70.75,75.0
42,0.5137416095737474,70.75,75.0
43,0.5147702280513774,70.75,75.0
44,0.5268747175272718,70.75,75.0
45,0.5203126486310494,70.75,75.0
46,0.5124744016297931,70.75,75.0
47,0.5283934779752176,70.75,75.0
48,0.49842635437812144,70.75,75.0
49,0.5435553393707242,70.75,75.0
50,0.48635312047787876,70.75,75.0
51,0.527540309737021,70.75,75.0
52,0.4829066605022294,70.75,75.0
53,0.5199593242440198,70.75,75.0
54,0.49925557074143184,70.75,75.0
55,0.4834064938813503,70.75,75.0
56,0.5270832172577771,70.75,75.0
57,0.5309032448540093,70.75,75.0
58,0.4696030510374827,70.75,75.0
59,0.5286658327459879,70.75,75.0
60,0.5077042549356934,70.75,75.0
61,0.5310663818040902,70.75,75.0
62,0.47124534188889144,70.75,75.0
63,0.4733790461169468,70.75,75.0
64,0.4633164647036081,70.75,75.0
65,0.4639519706853587,70.75,75.0
66,0.46808027026499566,70.75,75.0
67,0.48445406546852254,70.75,75.0
68,0.4563555676360296,70.75,75.0
69,0.4667203674859971,70.75,75.0
70,0.4450818399080164,70.75,75.0
71,0.46579721638778787,70.75,75.0
