Iteration,Objective Function Value,Training Accuracy,Test Accuracy,Learning Rate,Perturbation
1,0.48147693467303637,56.25,60.0,0.1921386352928596,0.2342772705857192
2,0.46419432478812317,60.0,60.0,0.26017419899987326,0.3703483979997466
3,0.45128715915779605,68.75,55.00000000000001,0.3286204382515413,0.5072408765030829
4,0.44185795844610276,67.5,55.00000000000001,0.4014392137533061,0.6528784275066125
5,0.43366435095314576,75.0,55.00000000000001,0.47206483271114996,0.7941296654223002
6,0.429188675831797,75.0,55.00000000000001,0.5400103340298903,0.9300206680597805
7,0.42392158136093555,77.5,65.0,0.6060500779910578,1.0621001559821157
8,0.4213017929953617,77.5,60.0,0.6693501300575475,1.188700260115095
9,0.41837805764443436,76.25,60.0,0.7374988992271091,1.3249977984542183
10,0.4163690810330053,76.25,60.0,0.8043298314295227,1.4586596628590456
