Iteration,Objective Function Value,Training Accuracy,Test Accuracy
1,0.4947275234414895,75.0,40.0
2,0.500035846852372,75.0,40.0
3,0.50667936660902,75.0,40.0
4,0.4841172838960304,75.0,40.0
5,0.4823332621018013,75.0,40.0
6,0.5063167680922716,75.0,40.0
7,0.48314388643490586,75.0,40.0
8,0.5204603488854405,75.0,40.0
9,0.47628821325576653,75.0,40.0
10,0.5034736942905632,75.0,40.0
11,0.4983973355445069,75.0,40.0
12,0.4819215618503868,75.0,40.0
13,0.48518510208760884,75.0,40.0
14,0.5010117813445334,75.0,40.0
15,0.48287856123823564,75.0,40.0
16,0.5058202913319196,75.0,40.0
17,0.5082108957305268,75.0,40.0
18,0.4882482108207401,75.0,40.0
19,0.4849815582955304,75.0,40.0
20,0.48663195403371134,75.0,40.0
21,0.49236622048883927,75.0,40.0
22,0.4879564857651556,75.0,40.0
23,0.4975382763320043,75.0,40.0
24,0.4967472043338077,75.0,40.0
25,0.4943377389066743,75.0,40.0
26,0.4904522675424154,75.0,40.0
27,0.4991000096133959,75.0,40.0
28,0.4947977497260327,75.0,40.0
29,0.48648466722618816,75.0,40.0
30,0.5035317413507892,75.0,40.0
31,0.4799817160687506,75.0,40.0
32,0.511411274812154,75.0,40.0
33,0.48372275396986825,75.0,40.0
34,0.5027508420236811,75.0,40.0
35,0.5092907818080913,75.0,40.0
36,0.4878442145064656,75.0,40.0
37,0.496125232326286,75.0,40.0
38,0.4827878245151432,75.0,40.0
39,0.5008027355042095,75.0,40.0
40,0.47492008758227267,75.0,40.0
41,0.48500839054982264,75.0,40.0
42,0.5077051103799672,75.0,40.0
43,0.5073046495399856,75.0,40.0
44,0.4855837105682032,75.0,40.0
45,0.5059648299770285,75.0,40.0
46,0.5020052451907024,75.0,40.0
47,0.50595931210097,75.0,40.0
48,0.4964406358764892,75.0,40.0
49,0.4923438577386241,75.0,40.0
50,0.4904736995088916,75.0,40.0
51,0.49034219405474067,75.0,40.0
52,0.49376748647434143,75.0,40.0
53,0.4851651704947521,75.0,40.0
54,0.5003034795654381,75.0,40.0
55,0.4975458020824301,75.0,40.0
56,0.4938467714033196,75.0,40.0
57,0.49847722376534265,75.0,40.0
58,0.49388572677627796,75.0,40.0
59,0.4932907807389594,75.0,40.0
60,0.4908248886661594,75.0,40.0
61,0.496478328399089,75.0,40.0
62,0.4872946921612593,75.0,40.0
63,0.49440898250765103,75.0,40.0
64,0.4830314848263247,75.0,40.0
65,0.4850925358152498,75.0,40.0
66,0.4879456288832575,75.0,40.0
67,0.4814988558242357,75.0,40.0
68,0.49010018483245404,75.0,40.0
69,0.4817031133479984,75.0,40.0
70,0.4929139310335877,75.0,40.0
71,0.4820620132982465,75.0,40.0
72,0.48474365466942465,75.0,40.0
73,0.4862901563059124,75.0,40.0
74,0.48098098314564225,75.0,40.0
75,0.4781146321980835,75.0,40.0
76,0.49016020948539063,75.0,40.0
77,0.48642002604652984,75.0,40.0
78,0.47346479575401695,75.0,40.0
79,0.48019774672680116,75.0,40.0
80,0.4808645232642978,75.0,40.0
81,0.46814988478360514,75.0,40.0
82,0.4783772396613231,75.0,40.0
83,0.48343550188645484,75.0,40.0
84,0.4630932569878933,75.0,40.0
85,0.471562652045154,75.0,40.0
86,0.4701105744710171,75.0,40.0
87,0.46811570187519286,75.0,40.0
88,0.46837461897242755,75.0,40.0
89,0.46805530199050993,75.0,40.0
90,0.46964261465373464,75.0,40.0
91,0.47106453588686603,75.0,40.0
92,0.4569515776271066,75.0,40.0
93,0.4721208612524119,75.0,40.0
94,0.45252657450042666,75.0,40.0
95,0.46283561775677634,75.0,40.0
96,0.45769437450630795,75.0,40.0
97,0.46017028432083523,75.0,40.0
98,0.45562540421099057,75.0,40.0
99,0.4598504905761521,75.0,40.0
100,0.4550790050635104,75.0,40.0
101,0.45429923188422217,75.0,40.0
102,0.46242884248260535,75.0,40.0
103,0.4605652945462871,75.0,40.0
104,0.4551576536188007,75.0,40.0
105,0.46270114312684035,75.0,40.0
106,0.4523787686099842,75.0,40.0
107,0.4395694357040222,75.0,40.0
108,0.4648520461952777,75.0,40.0
