Iteration,Objective Function Value,Training Accuracy,Test Accuracy,Learning Rate,Perturbation
1,0.4224555864774227,66.0,48.0,0.1977878409316549,0.24557568186330972
2,0.3512478650378641,81.0,70.0,0.3030597012346136,0.456119402469227
3,0.3258598745334949,87.0,78.0,0.3899269520382907,0.629853904076581
4,0.31739406559285416,87.0,82.0,0.462968106034157,0.7759362120683136
5,0.3169769904723711,86.0,82.0,0.4971556954999779,0.8443113909999554
6,0.31701957452732077,86.0,82.0,0.5262588187589303,0.9025176375178596
7,0.3169678676149302,86.0,82.0,0.5524661528839848,0.9549323057679687
8,0.3169723842773206,86.0,82.0,0.581488107571161,1.0129762151423212
9,0.3169723645951236,86.0,82.0,0.6074358790612691,1.0648717581225373
10,0.31700063829868663,86.0,82.0,0.6417104564023615,1.1334209128047221
