Iteration,Cost,Gradient Norm,Alpha Update Norm,Phi Update Norm,QSVC Accuracy,Phis
1,-1.856887242744513,50.9375191876991,0.28218274183803943,0.051563673453740376,1.0,"[-0.2510141  -0.09386155 -0.03438769  0.0066958   0.04778254 -0.05251306
  0.09327968  0.02720144  0.0520793   0.07063666  0.03491856 -0.06905142
 -0.07673012 -0.02958904 -0.01776943  0.07841207 -0.10345286  0.06772515
 -0.15265587  0.00794335  0.10472997  0.17428227  0.12774748  0.00515197
  0.16694198  0.16488873 -0.01443447  0.08021294  0.08522848  0.08353087
 -0.01470147 -0.02052336 -0.2197229   0.14317932  0.14245657 -0.0308073
  0.04087513  0.02435173 -0.02109133 -0.0391915  -0.00856282  0.0666035
 -0.07216012  0.0191899  -0.05051196 -0.02176173  0.02987898 -0.10871342
 -0.05937549 -0.14709397 -0.06821418 -0.074318    0.05483691 -0.07007655
 -0.18534764  0.04502906 -0.03043539  0.05948815  0.05679563 -0.06897302
 -0.17665531  0.02432315 -0.09551117 -0.03086989  0.1528881   0.05345109
  0.01667472  0.02459513 -0.06419053 -0.00324634  0.00140022 -0.107205
  0.11810887 -0.15713017 -0.02754959  0.00633818 -0.07300876  0.00411988
 -0.13395831 -0.15518386 -0.1901462   0.02039148  0.06116659  0.03011048
 -0.06969415  0.11732565  0.06831961  0.09912653  0.04206425  0.04114073
  0.06067219 -0.13273892 -0.13173622  0.06176777  0.09597626 -0.02935258
 -0.06209496 -0.09725827  0.05131267  0.00703467]"
2,-1.0372717314418671,23.373363105901362,0.17161411954260128,0.15390125780654934,1.0,"[-0.26640422 -0.10925167 -0.04977782 -0.00869432  0.03239242 -0.06790318
  0.07788955  0.01181131  0.03668917  0.05524653  0.01952843 -0.08444154
 -0.09212024 -0.04497916 -0.03315955  0.06302194 -0.11884299  0.05233502
 -0.168046   -0.00744677  0.08933984  0.15889214  0.11235736 -0.01023816
  0.15155185  0.14949861 -0.02982459  0.06482281  0.06983836  0.06814074
 -0.0300916  -0.03591348 -0.23511303  0.12778919  0.12706645 -0.04619743
  0.025485    0.0089616  -0.03648146 -0.05458163 -0.02395295  0.05121338
 -0.08755024  0.00379977 -0.06590208 -0.03715185  0.01448886 -0.12410355
 -0.07476562 -0.1624841  -0.08360431 -0.08970813  0.03944678 -0.08546668
 -0.20073777  0.02963894 -0.04582551  0.04409803  0.0414055  -0.08436315
 -0.19204543  0.00893303 -0.1109013  -0.04626001  0.13749797  0.03806096
  0.0012846   0.009205   -0.07958066 -0.01863647 -0.01398991 -0.12259513
  0.10271874 -0.1725203  -0.04293972 -0.00905194 -0.08839888 -0.01127024
 -0.14934844 -0.17057399 -0.20553632  0.00500136  0.04577647  0.01472035
 -0.08508427  0.10193552  0.05292949  0.0837364   0.02667412  0.02575061
  0.04528206 -0.14812905 -0.14712635  0.04637764  0.08058613 -0.04474271
 -0.07748509 -0.1126484   0.03592255 -0.00835546]"
3,-0.6814495076524484,11.9733055134881,0.10387418255773789,0.31228613043930625,1.0,"[-0.29763283 -0.14048028 -0.08100643 -0.03992294  0.0011638  -0.09913179
  0.04666094 -0.0194173   0.00546056  0.02401792 -0.01170018 -0.11567015
 -0.12334886 -0.07620778 -0.06438817  0.03179333 -0.1500716   0.02110641
 -0.19927461 -0.03867538  0.05811123  0.12766353  0.08112874 -0.04146677
  0.12032324  0.11826999 -0.0610532   0.0335942   0.03860975  0.03691213
 -0.06132021 -0.0671421  -0.26634164  0.09656058  0.09583783 -0.07742604
 -0.00574361 -0.02226701 -0.06771007 -0.08581024 -0.05518156  0.01998477
 -0.11877886 -0.02742884 -0.0971307  -0.06838047 -0.01673976 -0.15533216
 -0.10599423 -0.19371271 -0.11483292 -0.12093674  0.00821817 -0.11669529
 -0.23196638 -0.00158968 -0.07705412  0.01286942  0.01017689 -0.11559176
 -0.22327405 -0.02229559 -0.14212991 -0.07748863  0.10626936  0.00683235
 -0.02994402 -0.02202361 -0.11080927 -0.04986508 -0.04521852 -0.15382374
  0.07149013 -0.20374891 -0.07416833 -0.04028056 -0.1196275  -0.04249885
 -0.18057705 -0.2018026  -0.23676493 -0.02622726  0.01454785 -0.01650826
 -0.11631289  0.07070691  0.02170088  0.05250779 -0.00455449 -0.00547801
  0.01405345 -0.17935766 -0.17835496  0.01514903  0.04935752 -0.07597132
 -0.1087137  -0.14387701  0.00469393 -0.03958407]"
4,-0.5006720311921895,7.505135987181152,0.06291556611430585,0.5807439105839042,1.0,"[-3.55707226e-01 -1.98554676e-01 -1.39080822e-01 -9.79973286e-02
 -5.69105891e-02 -1.57206185e-01 -1.14134513e-02 -7.74916936e-02
 -5.26138322e-02 -3.40564722e-02 -6.97745695e-02 -1.73744545e-01
 -1.81423248e-01 -1.34282166e-01 -1.22462558e-01 -2.62810597e-02
 -2.08145990e-01 -3.69679813e-02 -2.57349003e-01 -9.67497754e-02
  3.68377242e-05  6.95891370e-02  2.30543522e-02 -9.95411633e-02
  6.22488492e-02  6.01956030e-02 -1.19127596e-01 -2.44801901e-02
 -1.94646453e-02 -2.11622644e-02 -1.19394602e-01 -1.25216488e-01
 -3.24416029e-01  3.84861863e-02  3.77634412e-02 -1.35500435e-01
 -6.38180008e-02 -8.03414022e-02 -1.25784462e-01 -1.43884631e-01
 -1.13255951e-01 -3.80896257e-02 -1.76853248e-01 -8.55032322e-02
 -1.55205087e-01 -1.26454856e-01 -7.48141479e-02 -2.13406553e-01
 -1.64068620e-01 -2.51787104e-01 -1.72907310e-01 -1.79011134e-01
 -4.98562217e-02 -1.74769679e-01 -2.90040772e-01 -5.96640682e-02
 -1.35128516e-01 -4.52049757e-02 -4.78974996e-02 -1.73666153e-01
 -2.81348439e-01 -8.03699770e-02 -2.00204303e-01 -1.35563018e-01
  4.81949658e-02 -5.12420420e-02 -8.80184072e-02 -8.00980002e-02
 -1.68883664e-01 -1.07939473e-01 -1.03292911e-01 -2.11898134e-01
  1.34157378e-02 -2.61823303e-01 -1.32242720e-01 -9.83549474e-02
 -1.77701887e-01 -1.00573245e-01 -2.38651441e-01 -2.59876991e-01
 -2.94839325e-01 -8.43016485e-02 -4.35265362e-02 -7.45826518e-02
 -1.74387277e-01  1.26325209e-02 -3.63735153e-02 -5.56660029e-03
 -6.26288809e-02 -6.35523986e-02 -4.40209447e-02 -2.37432050e-01
 -2.36429349e-01 -4.29253632e-02 -8.71687097e-03 -1.34045715e-01
 -1.66788093e-01 -2.01951400e-01 -5.33804575e-02 -9.76584602e-02]"
5,-0.3505247548421422,5.385976902509027,0.054274157870303326,1.1111772912671352,1.0,"[-0.46682495 -0.3096724  -0.25019855 -0.20911506 -0.16802832 -0.26832391
 -0.12253118 -0.18860942 -0.16373156 -0.1451742  -0.1808923  -0.28486227
 -0.29254098 -0.2453999  -0.23358029 -0.13739879 -0.31926372 -0.14808571
 -0.36846673 -0.2078675  -0.11108089 -0.04152859 -0.08806338 -0.21065889
 -0.04886888 -0.05092213 -0.23024532 -0.13559792 -0.13058237 -0.13227999
 -0.23051233 -0.23633422 -0.43553376 -0.07263154 -0.07335429 -0.24661816
 -0.17493573 -0.19145913 -0.23690219 -0.25500236 -0.22437368 -0.14920735
 -0.28797098 -0.19662096 -0.26632282 -0.23757259 -0.18593188 -0.32452428
 -0.27518635 -0.36290483 -0.28402504 -0.29012886 -0.16097395 -0.28588741
 -0.4011585  -0.1707818  -0.24624624 -0.1563227  -0.15901523 -0.28478388
 -0.39246617 -0.19148771 -0.31132203 -0.24668075 -0.06292276 -0.16235977
 -0.19913614 -0.19121573 -0.28000139 -0.2190572  -0.21441064 -0.32301586
 -0.09770199 -0.37294103 -0.24336045 -0.20947268 -0.28881962 -0.21169097
 -0.34976917 -0.37099472 -0.40595705 -0.19541938 -0.15464427 -0.18570038
 -0.28550501 -0.09848521 -0.14749124 -0.11668433 -0.17374661 -0.17467013
 -0.15513867 -0.34854978 -0.34754708 -0.15404309 -0.1198346  -0.24516344
 -0.27790582 -0.31306913 -0.16449819 -0.20877619]"
6,-0.22309575221183048,3.692706841719808,0.05146763648644235,2.014498720170721,1.0,"[-0.66827483 -0.51112228 -0.45164842 -0.41056493 -0.36947819 -0.46977379
 -0.32398105 -0.39005929 -0.36518143 -0.34662407 -0.38234217 -0.48631215
 -0.49399085 -0.44684977 -0.43503016 -0.33884866 -0.52071359 -0.34953558
 -0.5699166  -0.40931738 -0.31253076 -0.24297846 -0.28951325 -0.41210876
 -0.25031875 -0.252372   -0.4316952  -0.33704779 -0.33203225 -0.33372987
 -0.4319622  -0.43778409 -0.63698363 -0.27408141 -0.27480416 -0.44806804
 -0.3763856  -0.392909   -0.43835206 -0.45645223 -0.42582355 -0.35065723
 -0.48942085 -0.39807083 -0.46777269 -0.43902246 -0.38738175 -0.52597415
 -0.47663622 -0.5643547  -0.48547491 -0.49157873 -0.36242382 -0.48733728
 -0.60260837 -0.37223167 -0.44769612 -0.35777258 -0.3604651  -0.48623375
 -0.59391604 -0.39293758 -0.5127719  -0.44813062 -0.26437264 -0.36380964
 -0.40058601 -0.3926656  -0.48145127 -0.42050707 -0.41586051 -0.52446574
 -0.29915186 -0.5743909  -0.44481032 -0.41092255 -0.49026949 -0.41314085
 -0.55121904 -0.57244459 -0.60740693 -0.39686925 -0.35609414 -0.38715025
 -0.48695488 -0.29993508 -0.34894112 -0.3181342  -0.37519648 -0.37612
 -0.35658855 -0.54999965 -0.54899695 -0.35549296 -0.32128447 -0.44661332
 -0.47935569 -0.514519   -0.36594806 -0.41022606]"
7,-0.1156018046816824,2.3079953427285984,0.04480247257229438,3.2025870671131513,1.0,"[-0.98853353 -0.83138098 -0.77190713 -0.73082364 -0.6897369  -0.79003249
 -0.64423976 -0.710318   -0.68544014 -0.66688278 -0.70260088 -0.80657085
 -0.81424956 -0.76710847 -0.75528887 -0.65910737 -0.8409723  -0.66979429
 -0.89017531 -0.72957608 -0.63278947 -0.56323717 -0.60977196 -0.73236747
 -0.57057746 -0.5726307  -0.7519539  -0.6573065  -0.65229095 -0.65398857
 -0.75222091 -0.7580428  -0.95724234 -0.59434012 -0.59506287 -0.76832674
 -0.69664431 -0.71316771 -0.75861077 -0.77671094 -0.74608226 -0.67091593
 -0.80967956 -0.71832954 -0.78803139 -0.75928116 -0.70764046 -0.84623286
 -0.79689493 -0.88461341 -0.80573362 -0.81183744 -0.68268253 -0.80759599
 -0.92286708 -0.69249038 -0.76795482 -0.67803128 -0.68072381 -0.80649246
 -0.91417475 -0.71319628 -0.83303061 -0.76838933 -0.58463134 -0.68406835
 -0.72084472 -0.71292431 -0.80170997 -0.74076578 -0.73611922 -0.84472444
 -0.61941057 -0.89464961 -0.76506903 -0.73118126 -0.8105282  -0.73339955
 -0.87147775 -0.8927033  -0.92766563 -0.71712796 -0.67635284 -0.70740896
 -0.80721359 -0.62019379 -0.66919982 -0.63839291 -0.69545519 -0.69637871
 -0.67684725 -0.87025836 -0.86925566 -0.67575167 -0.64154318 -0.76687202
 -0.7996144  -0.83477771 -0.68620677 -0.73048477]"
8,-0.06972761177922235,1.1848053690959475,0.030953367443343805,3.748531212142589,1.0,"[-1.36338665 -1.2062341  -1.14676025 -1.10567676 -1.06459002 -1.16488561
 -1.01909288 -1.08517112 -1.06029326 -1.0417359  -1.077454   -1.18142397
 -1.18910268 -1.1419616  -1.13014199 -1.03396049 -1.21582542 -1.04464741
 -1.26502843 -1.1044292  -1.00764259 -0.93809029 -0.98462508 -1.10722059
 -0.94543058 -0.94748383 -1.12680702 -1.03215962 -1.02714407 -1.02884169
 -1.12707403 -1.13289592 -1.33209546 -0.96919324 -0.96991599 -1.14317986
 -1.07149743 -1.08802083 -1.13346389 -1.15156406 -1.12093538 -1.04576905
 -1.18453268 -1.09318266 -1.16288452 -1.13413429 -1.08249358 -1.22108598
 -1.17174805 -1.25946653 -1.18058674 -1.18669056 -1.05753565 -1.18244911
 -1.2977202  -1.0673435  -1.14280794 -1.0528844  -1.05557693 -1.18134558
 -1.28902787 -1.08804941 -1.20788373 -1.14324245 -0.95948446 -1.05892147
 -1.09569784 -1.08777743 -1.17656309 -1.1156189  -1.11097234 -1.21957756
 -0.99426369 -1.26950273 -1.13992215 -1.10603438 -1.18538132 -1.10825267
 -1.24633087 -1.26755642 -1.30251875 -1.09198108 -1.05120597 -1.08226208
 -1.18206671 -0.99504691 -1.04405294 -1.01324603 -1.07030831 -1.07123183
 -1.05170037 -1.24511148 -1.24410878 -1.05060479 -1.0163963  -1.14172514
 -1.17446752 -1.20963083 -1.06105989 -1.10533789]"
9,-0.04428073260856693,0.7087167389384397,0.02227544754520271,4.070875696047995,1.0,"[-1.77047422 -1.61332167 -1.55384782 -1.51276433 -1.47167759 -1.57197318
 -1.42618045 -1.49225869 -1.46738083 -1.44882347 -1.48454157 -1.58851154
 -1.59619025 -1.54904916 -1.53722956 -1.44104806 -1.62291299 -1.45173498
 -1.672116   -1.51151677 -1.41473016 -1.34517786 -1.39171265 -1.51430816
 -1.35251815 -1.3545714  -1.53389459 -1.43924719 -1.43423164 -1.43592926
 -1.5341616  -1.53998349 -1.73918303 -1.37628081 -1.37700356 -1.55026743
 -1.478585   -1.4951084  -1.54055146 -1.55865163 -1.52802295 -1.45285662
 -1.59162025 -1.50027023 -1.56997209 -1.54122186 -1.48958115 -1.62817355
 -1.57883562 -1.6665541  -1.58767431 -1.59377813 -1.46462322 -1.58953668
 -1.70480777 -1.47443107 -1.54989551 -1.45997197 -1.4626645  -1.58843315
 -1.69611544 -1.49513698 -1.6149713  -1.55033002 -1.36657203 -1.46600904
 -1.50278541 -1.494865   -1.58365066 -1.52270647 -1.51805991 -1.62666513
 -1.40135126 -1.6765903  -1.54700972 -1.51312195 -1.59246889 -1.51534024
 -1.65341844 -1.67464399 -1.70960632 -1.49906865 -1.45829353 -1.48934965
 -1.58915428 -1.40213448 -1.45114051 -1.4203336  -1.47739588 -1.4783194
 -1.45878794 -1.65219905 -1.65119635 -1.45769236 -1.42348387 -1.54881271
 -1.58155509 -1.6167184  -1.46814746 -1.51242546]"
10,-0.03292762723201508,0.4467676128127245,0.012462979388719977,4.040469364977282,1.0,"[-2.17452116 -2.01736861 -1.95789476 -1.91681126 -1.87572452 -1.97602012
 -1.83022739 -1.89630563 -1.87142777 -1.85287041 -1.8885885  -1.99255848
 -2.00023718 -1.9530961  -1.94127649 -1.84509499 -2.02695992 -1.85578192
 -2.07616294 -1.91556371 -1.8187771  -1.7492248  -1.79575958 -1.9183551
 -1.75656509 -1.75861833 -1.93794153 -1.84329413 -1.83827858 -1.8399762
 -1.93820854 -1.94403042 -2.14322996 -1.78032775 -1.78105049 -1.95431437
 -1.88263194 -1.89915534 -1.9445984  -1.96269857 -1.93206989 -1.85690356
 -1.99566718 -1.90431717 -1.97401902 -1.94526879 -1.89362808 -2.03222049
 -1.98288255 -2.07060104 -1.99172125 -1.99782507 -1.86867016 -1.99358361
 -2.10885471 -1.878478   -1.95394245 -1.86401891 -1.86671143 -1.99248009
 -2.10016237 -1.89918391 -2.01901824 -1.95437695 -1.77061897 -1.87005598
 -1.90683234 -1.89891194 -1.9876976  -1.92675341 -1.92210685 -2.03071207
 -1.8053982  -2.08063724 -1.95105666 -1.91716888 -1.99651582 -1.91938718
 -2.05746538 -2.07869093 -2.11365326 -1.90311558 -1.86234047 -1.89339659
 -1.99320121 -1.80618141 -1.85518745 -1.82438054 -1.88144282 -1.88236633
 -1.86283488 -2.05624599 -2.05524328 -1.8617393  -1.82753081 -1.95285965
 -1.98560203 -2.02076534 -1.87219439 -1.9164724 ]"
