Iteration,Cost,Gradient Norm,Alpha Update Norm,Phi Update Norm,QSVC Accuracy,Phis
1,-0.538774775,76.09901778,0.525444583,1.093313664,1,"[ 0.07826985  0.26182106 -0.10433145  0.19218539  0.03851959  0.04997576
  0.08850598 -0.00480648  0.15292171  0.07923619 -0.0430688   0.20942824
  0.2636991   0.04683622  0.04650057 -0.12189666  0.2028451   0.10760366
 -0.02969011  0.17720383 -0.02913162  0.04857664 -0.04071314  0.10666006
  0.1434358   0.28385069  0.25673149  0.24061489  0.16624224 -0.02411073
 -0.0393555   0.2313269   0.12244573  0.16401963  0.06201047  0.16383958
  0.15906912  0.03827563  0.14080658  0.03689765  0.13002516  0.37618559
  0.12108932  0.01262084  0.14003581  0.2112208   0.13432118 -0.02384762
  0.19774613  0.12232196 -0.15714541  0.15419184  0.12447111  0.07899318
 -0.00796701  0.09411744 -0.05952988  0.29036254  0.06589725  0.07130903
  0.17192509  0.2628831   0.11492461  0.01301612  0.0592779   0.01804705
  0.14077484  0.16703425 -0.03411511  0.08669793 -0.01873343  0.19272422
  0.13748019  0.11807075 -0.01662903  0.18145406  0.18858805  0.32457941
  0.15683619  0.12216789 -0.05293366  0.16076935 -0.11102998  0.03317772
  0.26831641  0.04546695  0.11046461 -0.0195526   0.05521761  0.13970933
  0.2044885   0.1317531   0.13623344  0.28360122  0.07264531 -0.09760245
 -0.04340566  0.17540658  0.03859102  0.06250346  0.00977337  0.03776865
  0.10640152  0.08661683  0.16456947 -0.00657408  0.08816211  0.04353308
  0.02426375  0.17519463  0.09062975 -0.06750082  0.18491655  0.14081366
  0.13260124  0.09314137  0.10785056  0.15733903  0.29736478  0.26501681
  0.15405597 -0.05883006 -0.00802045  0.0011747   0.12052697  0.08244937
  0.20010536  0.25753426  0.17619727  0.19600687  0.13843746  0.18588555
  0.24098718  0.0966726   0.19820645]"
2,-0.303570992,6.956809158,0.157190989,1.903186245,1,"[0.24207004 0.42562126 0.05946874 0.35598558 0.20231978 0.21377595
 0.25230617 0.15899371 0.3167219  0.24303638 0.12073139 0.37322843
 0.42749929 0.21063641 0.21030076 0.04190353 0.3666453  0.27140385
 0.13411009 0.34100402 0.13466858 0.21237684 0.12308705 0.27046025
 0.307236   0.44765089 0.42053168 0.40441508 0.33004243 0.13968946
 0.12444469 0.39512709 0.28624592 0.32781982 0.22581067 0.32763977
 0.32286932 0.20207582 0.30460678 0.20069784 0.29382535 0.53998578
 0.28488952 0.17642104 0.303836   0.37502099 0.29812137 0.13995258
 0.36154632 0.28612216 0.00665478 0.31799203 0.2882713  0.24279338
 0.15583318 0.25791763 0.10427032 0.45416273 0.22969745 0.23510922
 0.33572528 0.42668329 0.2787248  0.17681631 0.22307809 0.18184724
 0.30457503 0.33083445 0.12968508 0.25049812 0.14506676 0.35652442
 0.30128038 0.28187094 0.14717116 0.34525425 0.35238824 0.4883796
 0.32063638 0.28596808 0.11086654 0.32456954 0.05277021 0.19697791
 0.4321166  0.20926715 0.2742648  0.14424759 0.2190178  0.30350952
 0.3682887  0.29555329 0.30003363 0.44740141 0.2364455  0.06619774
 0.12039453 0.33920677 0.20239121 0.22630366 0.17357356 0.20156884
 0.27020171 0.25041702 0.32836966 0.15722611 0.25196231 0.20733328
 0.18806394 0.33899482 0.25442994 0.09629937 0.34871674 0.30461386
 0.29640143 0.25694157 0.27165075 0.32113922 0.46116497 0.428817
 0.31785616 0.10497013 0.15577974 0.16497489 0.28432716 0.24624956
 0.36390555 0.42133445 0.33999747 0.35980706 0.30223765 0.34968574
 0.40478737 0.2604728  0.36200665]"
3,-0.296254842,3.851834678,0.050608466,3.883960912,1,"[0.57634817 0.75989939 0.39374688 0.69026371 0.53659791 0.54805409
 0.5865843  0.49327184 0.65100003 0.57731451 0.45500952 0.70750656
 0.76177743 0.54491455 0.54457889 0.37618167 0.70092343 0.60568198
 0.46838822 0.67528216 0.46894671 0.54665497 0.45736518 0.60473838
 0.64151413 0.78192902 0.75480981 0.73869321 0.66432056 0.47396759
 0.45872283 0.72940522 0.62052406 0.66209795 0.5600888  0.66191791
 0.65714745 0.53635395 0.63888491 0.53497597 0.62810349 0.87426391
 0.61916765 0.51069917 0.63811413 0.70929912 0.6323995  0.47423071
 0.69582445 0.62040029 0.34093291 0.65227016 0.62254943 0.57707151
 0.49011131 0.59219576 0.43854845 0.78844086 0.56397558 0.56938735
 0.67000342 0.76096142 0.61300293 0.51109444 0.55735622 0.51612538
 0.63885317 0.66511258 0.46396321 0.58477625 0.47934489 0.69080255
 0.63555852 0.61614907 0.48144929 0.67953238 0.68666637 0.82265773
 0.65491451 0.62024621 0.44514467 0.65884768 0.38704835 0.53125605
 0.76639473 0.54354528 0.60854294 0.47852572 0.55329594 0.63778765
 0.70256683 0.62983143 0.63431176 0.78167955 0.57072363 0.40047587
 0.45467266 0.6734849  0.53666935 0.56058179 0.50785169 0.53584697
 0.60447984 0.58469515 0.66264779 0.49150425 0.58624044 0.54161141
 0.52234207 0.67327295 0.58870808 0.4305775  0.68299487 0.63889199
 0.63067956 0.5912197  0.60592888 0.65541735 0.7954431  0.76309513
 0.6521343  0.43924826 0.49005787 0.49925302 0.6186053  0.58052769
 0.69818368 0.75561258 0.6742756  0.6940852  0.63651578 0.68396387
 0.7390655  0.59475093 0.69628478]"
4,-0.3554957,3.68481166,0.026190122,11.94388326,1,"[1.60431397 1.78786519 1.42171267 1.71822951 1.56456371 1.57601988
 1.6145501  1.52123764 1.67896583 1.60528031 1.48297532 1.73547236
 1.78974323 1.57288035 1.57254469 1.40414746 1.72888923 1.63364778
 1.49635402 1.70324795 1.49691251 1.57462077 1.48533098 1.63270418
 1.66947993 1.80989482 1.78277561 1.76665901 1.69228636 1.50193339
 1.48668862 1.75737102 1.64848985 1.69006375 1.5880546  1.6898837
 1.68511325 1.56431975 1.66685071 1.56294177 1.65606929 1.90222971
 1.64713345 1.53866497 1.66607993 1.73726492 1.6603653  1.50219651
 1.72379025 1.64836609 1.36889871 1.68023596 1.65051523 1.60503731
 1.51807711 1.62016156 1.46651425 1.81640666 1.59194138 1.59735315
 1.69796921 1.78892722 1.64096873 1.53906024 1.58532202 1.54409117
 1.66681897 1.69307838 1.49192901 1.61274205 1.50731069 1.71876835
 1.66352432 1.64411487 1.50941509 1.70749818 1.71463217 1.85062353
 1.68288031 1.64821201 1.47311047 1.68681347 1.41501415 1.55922184
 1.79436053 1.57151108 1.63650874 1.50649152 1.58126173 1.66575345
 1.73053263 1.65779722 1.66227756 1.80964534 1.59868943 1.42844167
 1.48263846 1.7014507  1.56463515 1.58854759 1.53581749 1.56381277
 1.63244564 1.61266095 1.69061359 1.51947004 1.61420624 1.56957721
 1.55030787 1.70123875 1.61667388 1.4585433  1.71096067 1.66685779
 1.65864536 1.6191855  1.63389468 1.68338315 1.8234089  1.79106093
 1.6801001  1.46721406 1.51802367 1.52721882 1.6465711  1.60849349
 1.72614948 1.78357838 1.7022414  1.72205099 1.66448158 1.71192967
 1.7670313  1.62271673 1.72425058]"
5,-0.410843399,4.406517929,0.008452067,63.67269293,1,"[7.08438684 7.26793806 6.90178555 7.19830239 7.04463658 7.05609276
 7.09462297 7.00131051 7.15903871 7.08535318 6.96304819 7.21554524
 7.2698161  7.05295322 7.05261757 6.88422034 7.2089621  7.11372065
 6.97642689 7.18332083 6.97698538 7.05469364 6.96540385 7.11277706
 7.1495528  7.28996769 7.26284849 7.24673188 7.17235924 6.98200627
 6.9667615  7.23744389 7.12856273 7.17013663 7.06812747 7.16995658
 7.16518612 7.04439262 7.14692358 7.04301464 7.13614216 7.38230258
 7.12720632 7.01873784 7.1461528  7.21733779 7.14043818 6.98226938
 7.20386312 7.12843896 6.84897159 7.16030883 7.13058811 7.08511018
 6.99814999 7.10023444 6.94658712 7.29647953 7.07201425 7.07742602
 7.17804209 7.2690001  7.1210416  7.01913311 7.0653949  7.02416405
 7.14689184 7.17315125 6.97200188 7.09281493 6.98738357 7.19884122
 7.14359719 7.12418775 6.98948797 7.18757106 7.19470504 7.3306964
 7.16295319 7.12828489 6.95318334 7.16688635 6.89508702 7.03929472
 7.2744334  7.05158395 7.11658161 6.98656439 7.06133461 7.14582633
 7.2106055  7.1378701  7.14235043 7.28971822 7.07876231 6.90851455
 6.96271134 7.18152358 7.04470802 7.06862046 7.01589036 7.04388564
 7.11251852 7.09273382 7.17068647 6.99954292 7.09427911 7.04965008
 7.03038075 7.18131163 7.09674675 6.93861618 7.19103354 7.14693066
 7.13871823 7.09925837 7.11396755 7.16345602 7.30348178 7.27113381
 7.16017297 6.94728694 6.99809655 7.0072917  7.12664397 7.08856636
 7.20622236 7.26365126 7.18231427 7.20212387 7.14455445 7.19200255
 7.24710417 7.1027896  7.20432345]"
6,-0.436567975,5.04993806,0.002744809,722.8861299,1,"[69.30051889 69.48407011 69.1179176  69.41443444 69.26076864 69.27222481
 69.31075502 69.21744256 69.37517076 69.30148523 69.17918025 69.43167729
 69.48594815 69.26908527 69.26874962 69.10035239 69.42509415 69.32985271
 69.19255894 69.39945288 69.19311743 69.27082569 69.18153591 69.32890911
 69.36568485 69.50609974 69.47898054 69.46286394 69.38849129 69.19813832
 69.18289355 69.45357594 69.34469478 69.38626868 69.28425952 69.38608863
 69.38131817 69.26052467 69.36305563 69.25914669 69.35227421 69.59843463
 69.34333837 69.23486989 69.36228485 69.43346985 69.35657023 69.19840143
 69.41999517 69.34457101 69.06510364 69.37644089 69.34672016 69.30124223
 69.21428204 69.31636649 69.16271917 69.51261159 69.2881463  69.29355807
 69.39417414 69.48513215 69.33717365 69.23526517 69.28152695 69.2402961
 69.36302389 69.3892833  69.18813393 69.30894698 69.20351562 69.41497327
 69.35972924 69.3403198  69.20562002 69.40370311 69.4108371  69.54682846
 69.37908524 69.34441694 69.16931539 69.3830184  69.11121907 69.25542677
 69.49056545 69.267716   69.33271366 69.20269644 69.27746666 69.36195838
 69.42673755 69.35400215 69.35848248 69.50585027 69.29489436 69.1246466
 69.17884339 69.39765563 69.26084007 69.28475251 69.23202242 69.2600177
 69.32865057 69.30886587 69.38681852 69.21567497 69.31041116 69.26578213
 69.2465128  69.39744368 69.3128788  69.15474823 69.40716559 69.36306271
 69.35485029 69.31539042 69.33009961 69.37958807 69.51961383 69.48726586
 69.37630502 69.16341899 69.2142286  69.22342375 69.34277602 69.30469842
 69.42235441 69.47978331 69.39844632 69.41825592 69.36068651 69.4081346
 69.46323623 69.31892165 69.4204555 ]"
7,-0.450967015,5.344333172,0.002085224,28326.79967,1,"[2507.28326065 2507.46681187 2507.10065935 2507.39717619 2507.24351039
 2507.25496656 2507.29349678 2507.20018432 2507.35791251 2507.28422699
 2507.161922   2507.41441904 2507.4686899  2507.25182702 2507.25149137
 2507.08309414 2507.40783591 2507.31259446 2507.1753007  2507.38219463
 2507.17585919 2507.25356744 2507.16427766 2507.31165086 2507.34842661
 2507.4888415  2507.46172229 2507.44560569 2507.37123304 2507.18088007
 2507.1656353  2507.4363177  2507.32743653 2507.36901043 2507.26700127
 2507.36883038 2507.36405992 2507.24326643 2507.34579739 2507.24188845
 2507.33501596 2507.58117639 2507.32608013 2507.21761164 2507.34502661
 2507.4162116  2507.33931198 2507.18114319 2507.40273693 2507.32731277
 2507.04784539 2507.35918264 2507.32946191 2507.28398399 2507.19702379
 2507.29910824 2507.14546093 2507.49535334 2507.27088805 2507.27629983
 2507.37691589 2507.4678739  2507.31991541 2507.21800692 2507.2642687
 2507.22303785 2507.34576564 2507.37202505 2507.17087569 2507.29168873
 2507.18625737 2507.39771503 2507.34247099 2507.32306155 2507.18836177
 2507.38644486 2507.39357885 2507.52957021 2507.36182699 2507.32715869
 2507.15205715 2507.36576015 2507.09396082 2507.23816852 2507.47330721
 2507.25045776 2507.31545541 2507.1854382  2507.26020841 2507.34470013
 2507.40947931 2507.3367439  2507.34122424 2507.48859202 2507.27763611
 2507.10738835 2507.16158514 2507.38039738 2507.24358182 2507.26749426
 2507.21476417 2507.24275945 2507.31139232 2507.29160763 2507.36956027
 2507.19841672 2507.29315292 2507.24852389 2507.22925455 2507.38018543
 2507.29562055 2507.13748998 2507.38990735 2507.34580447 2507.33759204
 2507.29813217 2507.31284136 2507.36232983 2507.50235558 2507.47000761
 2507.35904677 2507.14616074 2507.19697035 2507.2061655  2507.32551777
 2507.28744017 2507.40509616 2507.46252506 2507.38118807 2507.40099767
 2507.34342826 2507.39087635 2507.44597798 2507.30166341 2507.40319726]"
8,-0.463498259,5.509212623,0.002044089,9083740.436,1,"[784311.18167507 784311.36522629 784310.99907378 784311.29559061
 784311.14192481 784311.15338099 784311.1919112  784311.09859874
 784311.25632693 784311.18264141 784311.06033642 784311.31283346
 784311.36710433 784311.15024145 784311.14990579 784310.98150857
 784311.30625033 784311.21100888 784311.07371512 784311.28060906
 784311.07427361 784311.15198187 784311.06269208 784311.21006529
 784311.24684103 784311.38725592 784311.36013671 784311.34402011
 784311.26964746 784311.07929449 784311.06404973 784311.33473212
 784311.22585096 784311.26742486 784311.1654157  784311.26724481
 784311.26247435 784311.14168085 784311.24421181 784311.14030287
 784311.23343039 784311.47959081 784311.22449455 784311.11602607
 784311.24344103 784311.31462602 784311.2377264  784311.07955761
 784311.30115135 784311.22572719 784310.94625981 784311.25759706
 784311.22787633 784311.18239841 784311.09543821 784311.19752267
 784311.04387535 784311.39376776 784311.16930248 784311.17471425
 784311.27533032 784311.36628832 784311.21832983 784311.11642134
 784311.16268312 784311.12145228 784311.24418007 784311.27043948
 784311.06929011 784311.19010315 784311.08467179 784311.29612945
 784311.24088542 784311.22147598 784311.08677619 784311.28485928
 784311.29199327 784311.42798463 784311.26024141 784311.22557311
 784311.05047157 784311.26417458 784310.99237525 784311.13658295
 784311.37172163 784311.14887218 784311.21386984 784311.08385262
 784311.15862284 784311.24311455 784311.30789373 784311.23515833
 784311.23963866 784311.38700645 784311.17605053 784311.00580277
 784311.05999956 784311.2788118  784311.14199625 784311.16590869
 784311.11317859 784311.14117387 784311.20980674 784311.19002205
 784311.26797469 784311.09683115 784311.19156734 784311.14693831
 784311.12766898 784311.27859986 784311.19403498 784311.0359044
 784311.28832177 784311.24421889 784311.23600646 784311.1965466
 784311.21125578 784311.26074425 784311.40077    784311.36842203
 784311.2574612  784311.04457516 784311.09538477 784311.10457992
 784311.2239322  784311.18585459 784311.30351058 784311.36093948
 784311.2796025  784311.2994121  784311.24184268 784311.28929078
 784311.3443924  784311.20007783 784311.30161168]"
9,-0.476121818,5.652846097,0.002103444,98977326056,1,"[8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09 8.51939621e+09
 8.51939621e+09 8.51939621e+09 8.51939621e+09]"
10,-0.489291099,5.797861676,0.002188889,3.45E+17,1,"[2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16 2.96589055e+16
 2.96589055e+16 2.96589055e+16 2.96589055e+16]"
