Iteration,Cost,Gradient Norm,Alpha Update Norm,Phi Update Norm,QSVC Accuracy,Phis
1,-3.3194498234737235,98.74220111464517,0.314913426707652,1.3023716257819111,0.975,"[-0.27344633  0.05747879 -0.07661954 -0.10469647 -0.07027397  0.00117313
 -0.0598058  -0.12911814 -0.11137013  0.09013351  0.02093792 -0.03618114
 -0.0695179  -0.2258609  -0.17017911 -0.13205238 -0.07324719 -0.1392063
 -0.04682808 -0.07464324  0.03855038 -0.18590636 -0.082492    0.13549537
 -0.07034433 -0.0792171  -0.1487785   0.01239057 -0.09903175 -0.14006539
 -0.19715118 -0.11219323 -0.16285015 -0.16600856 -0.27074431 -0.28611381
 -0.00838581 -0.20077915 -0.08746287 -0.0625463  -0.09139579 -0.19794027
 -0.10242568 -0.07431426 -0.1458151  -0.11966878 -0.07558536  0.02876154
 -0.04668369 -0.17550896 -0.09732736 -0.16538675 -0.25311992 -0.12449601
 -0.23788637 -0.07220603 -0.1397101  -0.12021422 -0.07335378 -0.15464846
 -0.10885013 -0.15927305 -0.16594182 -0.29111315 -0.04037535 -0.18673407
 -0.12235509 -0.05931342 -0.05620055 -0.16408407 -0.05234831 -0.00192019
  0.0583786  -0.2180825  -0.0541952  -0.07450224 -0.12783562 -0.27426066
 -0.1085686  -0.25089545 -0.20256957 -0.22622524 -0.2765111  -0.09483702
  0.06718843 -0.02275404 -0.10031104 -0.15049063  0.00246642 -0.11083995
 -0.23500782 -0.24435058  0.03124171 -0.17785841  0.00553937 -0.28627164
 -0.18686535 -0.12830038 -0.02334652 -0.06725743 -0.09022952 -0.11636755
 -0.16585837 -0.07511433 -0.24434414 -0.10161827 -0.10245609 -0.2001615
  0.04225896 -0.38348721 -0.11637852 -0.02962883 -0.18258144 -0.17789947
 -0.14937879 -0.08114118 -0.2436108  -0.01542925 -0.06556952 -0.2413242
  0.00352719  0.06205412 -0.20356289  0.03838781 -0.10734943 -0.1104163
  0.05716576 -0.09153236 -0.09577121 -0.13845634 -0.18204695  0.02532389
 -0.05275054 -0.03291042 -0.0543961  -0.1886799   0.00513788 -0.15125144
 -0.05972777 -0.00447029 -0.22216688 -0.1999957  -0.26607881 -0.19498613
 -0.22262171 -0.23847962 -0.09408291  0.08013438 -0.05344813 -0.13466038
 -0.13979943 -0.21538494 -0.27095813  0.00613117 -0.12688476 -0.0900902
 -0.03621873  0.04578167 -0.06482605 -0.20017335]"
2,-1.052265470521804,50.7078544888631,0.39750467529732425,18.31614946980195,0.975,"[-1.72146509 -1.39053997 -1.5246383  -1.55271523 -1.51829272 -1.44684563
 -1.50782456 -1.57713689 -1.55938888 -1.35788525 -1.42708084 -1.4841999
 -1.51753665 -1.67387965 -1.61819786 -1.58007113 -1.52126595 -1.58722505
 -1.49484684 -1.52266199 -1.40946837 -1.63392511 -1.53051076 -1.31252338
 -1.51836308 -1.52723586 -1.59679726 -1.43562819 -1.54705051 -1.58808415
 -1.64516994 -1.56021198 -1.61086891 -1.61402731 -1.71876307 -1.73413256
 -1.45640457 -1.6487979  -1.53548163 -1.51056506 -1.53941455 -1.64595903
 -1.55044444 -1.52233302 -1.59383385 -1.56768754 -1.52360411 -1.41925722
 -1.49470245 -1.62352772 -1.54534612 -1.61340551 -1.70113867 -1.57251476
 -1.68590512 -1.52022479 -1.58772886 -1.56823297 -1.52137254 -1.60266722
 -1.55686889 -1.60729181 -1.61396058 -1.73913191 -1.48839411 -1.63475282
 -1.57037384 -1.50733217 -1.5042193  -1.61210283 -1.50036706 -1.44993895
 -1.38964016 -1.66610125 -1.50221395 -1.522521   -1.57585438 -1.72227942
 -1.55658736 -1.69891421 -1.65058833 -1.67424399 -1.72452986 -1.54285578
 -1.38083033 -1.47077279 -1.54832979 -1.59850938 -1.44555234 -1.55885871
 -1.68302658 -1.69236933 -1.41677705 -1.62587716 -1.44247939 -1.7342904
 -1.63488411 -1.57631914 -1.47136528 -1.51527619 -1.53824828 -1.5643863
 -1.61387713 -1.52313309 -1.6923629  -1.54963702 -1.55047485 -1.64818025
 -1.4057598  -1.83150597 -1.56439728 -1.47764759 -1.6306002  -1.62591822
 -1.59739755 -1.52915994 -1.69162956 -1.463448   -1.51358828 -1.68934296
 -1.44449156 -1.38596464 -1.65158165 -1.40963094 -1.55536819 -1.55843506
 -1.39085299 -1.53955112 -1.54378997 -1.58647509 -1.63006571 -1.42269487
 -1.5007693  -1.48092917 -1.50241486 -1.63669865 -1.44288088 -1.5992702
 -1.50774653 -1.45248905 -1.67018564 -1.64801446 -1.71409756 -1.64300488
 -1.67064047 -1.68649837 -1.54210167 -1.36788438 -1.50146689 -1.58267914
 -1.58781818 -1.66340369 -1.71897688 -1.44188759 -1.57490351 -1.53810895
 -1.48423748 -1.40223709 -1.51284481 -1.64819211]"
3,0.0,14.044822273725318,0.3507820608190343,321.1078852469911,0.975,"[-27.10727239 -26.77634727 -26.9104456  -26.93852253 -26.90410002
 -26.83265293 -26.89363186 -26.96294419 -26.94519618 -26.74369255
 -26.81288814 -26.8700072  -26.90334395 -27.05968695 -27.00400516
 -26.96587843 -26.90707325 -26.97303235 -26.88065414 -26.90846929
 -26.79527567 -27.01973241 -26.91631806 -26.69833068 -26.90417038
 -26.91304316 -26.98260456 -26.82143549 -26.93285781 -26.97389145
 -27.03097724 -26.94601928 -26.99667621 -26.99983461 -27.10457037
 -27.11993986 -26.84221187 -27.0346052  -26.92128893 -26.89637236
 -26.92522185 -27.03176633 -26.93625174 -26.90814032 -26.97964115
 -26.95349484 -26.90941141 -26.80506452 -26.88050975 -27.00933502
 -26.93115342 -26.99921281 -27.08694597 -26.95832206 -27.07171242
 -26.90603209 -26.97353616 -26.95404027 -26.90717984 -26.98847452
 -26.94267619 -26.99309911 -26.99976788 -27.12493921 -26.87420141
 -27.02056013 -26.95618114 -26.89313947 -26.8900266  -26.99791013
 -26.88617436 -26.83574625 -26.77544746 -27.05190855 -26.88802125
 -26.9083283  -26.96166168 -27.10808672 -26.94239466 -27.08472151
 -27.03639563 -27.06005129 -27.11033716 -26.92866308 -26.76663763
 -26.85658009 -26.9341371  -26.98431668 -26.83135964 -26.94466601
 -27.06883388 -27.07817663 -26.80258435 -27.01168446 -26.82828669
 -27.1200977  -27.02069141 -26.96212644 -26.85717258 -26.90108349
 -26.92405558 -26.95019361 -26.99968443 -26.90894039 -27.0781702
 -26.93544432 -26.93628215 -27.03398755 -26.7915671  -27.21731327
 -26.95020458 -26.86345489 -27.0164075  -27.01172552 -26.98320485
 -26.91496724 -27.07743686 -26.8492553  -26.89939558 -27.07515026
 -26.83029886 -26.77177194 -27.03738895 -26.79543824 -26.94117549
 -26.94424236 -26.77666029 -26.92535842 -26.92959727 -26.97228239
 -27.01587301 -26.80850217 -26.8865766  -26.86673647 -26.88822216
 -27.02250595 -26.82868818 -26.9850775  -26.89355383 -26.83829635
 -27.05599294 -27.03382176 -27.09990486 -27.02881218 -27.05644777
 -27.07230567 -26.92790897 -26.75369168 -26.88727419 -26.96848644
 -26.97362549 -27.049211   -27.10478418 -26.82769489 -26.96071082
 -26.92391625 -26.87004478 -26.78804439 -26.89865211 -27.03399941]"
4,0.0,0.0,0.0,0.0,0.975,"[-27.10727239 -26.77634727 -26.9104456  -26.93852253 -26.90410002
 -26.83265293 -26.89363186 -26.96294419 -26.94519618 -26.74369255
 -26.81288814 -26.8700072  -26.90334395 -27.05968695 -27.00400516
 -26.96587843 -26.90707325 -26.97303235 -26.88065414 -26.90846929
 -26.79527567 -27.01973241 -26.91631806 -26.69833068 -26.90417038
 -26.91304316 -26.98260456 -26.82143549 -26.93285781 -26.97389145
 -27.03097724 -26.94601928 -26.99667621 -26.99983461 -27.10457037
 -27.11993986 -26.84221187 -27.0346052  -26.92128893 -26.89637236
 -26.92522185 -27.03176633 -26.93625174 -26.90814032 -26.97964115
 -26.95349484 -26.90941141 -26.80506452 -26.88050975 -27.00933502
 -26.93115342 -26.99921281 -27.08694597 -26.95832206 -27.07171242
 -26.90603209 -26.97353616 -26.95404027 -26.90717984 -26.98847452
 -26.94267619 -26.99309911 -26.99976788 -27.12493921 -26.87420141
 -27.02056013 -26.95618114 -26.89313947 -26.8900266  -26.99791013
 -26.88617436 -26.83574625 -26.77544746 -27.05190855 -26.88802125
 -26.9083283  -26.96166168 -27.10808672 -26.94239466 -27.08472151
 -27.03639563 -27.06005129 -27.11033716 -26.92866308 -26.76663763
 -26.85658009 -26.9341371  -26.98431668 -26.83135964 -26.94466601
 -27.06883388 -27.07817663 -26.80258435 -27.01168446 -26.82828669
 -27.1200977  -27.02069141 -26.96212644 -26.85717258 -26.90108349
 -26.92405558 -26.95019361 -26.99968443 -26.90894039 -27.0781702
 -26.93544432 -26.93628215 -27.03398755 -26.7915671  -27.21731327
 -26.95020458 -26.86345489 -27.0164075  -27.01172552 -26.98320485
 -26.91496724 -27.07743686 -26.8492553  -26.89939558 -27.07515026
 -26.83029886 -26.77177194 -27.03738895 -26.79543824 -26.94117549
 -26.94424236 -26.77666029 -26.92535842 -26.92959727 -26.97228239
 -27.01587301 -26.80850217 -26.8865766  -26.86673647 -26.88822216
 -27.02250595 -26.82868818 -26.9850775  -26.89355383 -26.83829635
 -27.05599294 -27.03382176 -27.09990486 -27.02881218 -27.05644777
 -27.07230567 -26.92790897 -26.75369168 -26.88727419 -26.96848644
 -26.97362549 -27.049211   -27.10478418 -26.82769489 -26.96071082
 -26.92391625 -26.87004478 -26.78804439 -26.89865211 -27.03399941]"
5,0.0,0.0,0.0,0.0,0.975,"[-27.10727239 -26.77634727 -26.9104456  -26.93852253 -26.90410002
 -26.83265293 -26.89363186 -26.96294419 -26.94519618 -26.74369255
 -26.81288814 -26.8700072  -26.90334395 -27.05968695 -27.00400516
 -26.96587843 -26.90707325 -26.97303235 -26.88065414 -26.90846929
 -26.79527567 -27.01973241 -26.91631806 -26.69833068 -26.90417038
 -26.91304316 -26.98260456 -26.82143549 -26.93285781 -26.97389145
 -27.03097724 -26.94601928 -26.99667621 -26.99983461 -27.10457037
 -27.11993986 -26.84221187 -27.0346052  -26.92128893 -26.89637236
 -26.92522185 -27.03176633 -26.93625174 -26.90814032 -26.97964115
 -26.95349484 -26.90941141 -26.80506452 -26.88050975 -27.00933502
 -26.93115342 -26.99921281 -27.08694597 -26.95832206 -27.07171242
 -26.90603209 -26.97353616 -26.95404027 -26.90717984 -26.98847452
 -26.94267619 -26.99309911 -26.99976788 -27.12493921 -26.87420141
 -27.02056013 -26.95618114 -26.89313947 -26.8900266  -26.99791013
 -26.88617436 -26.83574625 -26.77544746 -27.05190855 -26.88802125
 -26.9083283  -26.96166168 -27.10808672 -26.94239466 -27.08472151
 -27.03639563 -27.06005129 -27.11033716 -26.92866308 -26.76663763
 -26.85658009 -26.9341371  -26.98431668 -26.83135964 -26.94466601
 -27.06883388 -27.07817663 -26.80258435 -27.01168446 -26.82828669
 -27.1200977  -27.02069141 -26.96212644 -26.85717258 -26.90108349
 -26.92405558 -26.95019361 -26.99968443 -26.90894039 -27.0781702
 -26.93544432 -26.93628215 -27.03398755 -26.7915671  -27.21731327
 -26.95020458 -26.86345489 -27.0164075  -27.01172552 -26.98320485
 -26.91496724 -27.07743686 -26.8492553  -26.89939558 -27.07515026
 -26.83029886 -26.77177194 -27.03738895 -26.79543824 -26.94117549
 -26.94424236 -26.77666029 -26.92535842 -26.92959727 -26.97228239
 -27.01587301 -26.80850217 -26.8865766  -26.86673647 -26.88822216
 -27.02250595 -26.82868818 -26.9850775  -26.89355383 -26.83829635
 -27.05599294 -27.03382176 -27.09990486 -27.02881218 -27.05644777
 -27.07230567 -26.92790897 -26.75369168 -26.88727419 -26.96848644
 -26.97362549 -27.049211   -27.10478418 -26.82769489 -26.96071082
 -26.92391625 -26.87004478 -26.78804439 -26.89865211 -27.03399941]"
6,0.0,0.0,0.0,0.0,0.975,"[-27.10727239 -26.77634727 -26.9104456  -26.93852253 -26.90410002
 -26.83265293 -26.89363186 -26.96294419 -26.94519618 -26.74369255
 -26.81288814 -26.8700072  -26.90334395 -27.05968695 -27.00400516
 -26.96587843 -26.90707325 -26.97303235 -26.88065414 -26.90846929
 -26.79527567 -27.01973241 -26.91631806 -26.69833068 -26.90417038
 -26.91304316 -26.98260456 -26.82143549 -26.93285781 -26.97389145
 -27.03097724 -26.94601928 -26.99667621 -26.99983461 -27.10457037
 -27.11993986 -26.84221187 -27.0346052  -26.92128893 -26.89637236
 -26.92522185 -27.03176633 -26.93625174 -26.90814032 -26.97964115
 -26.95349484 -26.90941141 -26.80506452 -26.88050975 -27.00933502
 -26.93115342 -26.99921281 -27.08694597 -26.95832206 -27.07171242
 -26.90603209 -26.97353616 -26.95404027 -26.90717984 -26.98847452
 -26.94267619 -26.99309911 -26.99976788 -27.12493921 -26.87420141
 -27.02056013 -26.95618114 -26.89313947 -26.8900266  -26.99791013
 -26.88617436 -26.83574625 -26.77544746 -27.05190855 -26.88802125
 -26.9083283  -26.96166168 -27.10808672 -26.94239466 -27.08472151
 -27.03639563 -27.06005129 -27.11033716 -26.92866308 -26.76663763
 -26.85658009 -26.9341371  -26.98431668 -26.83135964 -26.94466601
 -27.06883388 -27.07817663 -26.80258435 -27.01168446 -26.82828669
 -27.1200977  -27.02069141 -26.96212644 -26.85717258 -26.90108349
 -26.92405558 -26.95019361 -26.99968443 -26.90894039 -27.0781702
 -26.93544432 -26.93628215 -27.03398755 -26.7915671  -27.21731327
 -26.95020458 -26.86345489 -27.0164075  -27.01172552 -26.98320485
 -26.91496724 -27.07743686 -26.8492553  -26.89939558 -27.07515026
 -26.83029886 -26.77177194 -27.03738895 -26.79543824 -26.94117549
 -26.94424236 -26.77666029 -26.92535842 -26.92959727 -26.97228239
 -27.01587301 -26.80850217 -26.8865766  -26.86673647 -26.88822216
 -27.02250595 -26.82868818 -26.9850775  -26.89355383 -26.83829635
 -27.05599294 -27.03382176 -27.09990486 -27.02881218 -27.05644777
 -27.07230567 -26.92790897 -26.75369168 -26.88727419 -26.96848644
 -26.97362549 -27.049211   -27.10478418 -26.82769489 -26.96071082
 -26.92391625 -26.87004478 -26.78804439 -26.89865211 -27.03399941]"
7,0.0,0.0,0.0,0.0,0.975,"[-27.10727239 -26.77634727 -26.9104456  -26.93852253 -26.90410002
 -26.83265293 -26.89363186 -26.96294419 -26.94519618 -26.74369255
 -26.81288814 -26.8700072  -26.90334395 -27.05968695 -27.00400516
 -26.96587843 -26.90707325 -26.97303235 -26.88065414 -26.90846929
 -26.79527567 -27.01973241 -26.91631806 -26.69833068 -26.90417038
 -26.91304316 -26.98260456 -26.82143549 -26.93285781 -26.97389145
 -27.03097724 -26.94601928 -26.99667621 -26.99983461 -27.10457037
 -27.11993986 -26.84221187 -27.0346052  -26.92128893 -26.89637236
 -26.92522185 -27.03176633 -26.93625174 -26.90814032 -26.97964115
 -26.95349484 -26.90941141 -26.80506452 -26.88050975 -27.00933502
 -26.93115342 -26.99921281 -27.08694597 -26.95832206 -27.07171242
 -26.90603209 -26.97353616 -26.95404027 -26.90717984 -26.98847452
 -26.94267619 -26.99309911 -26.99976788 -27.12493921 -26.87420141
 -27.02056013 -26.95618114 -26.89313947 -26.8900266  -26.99791013
 -26.88617436 -26.83574625 -26.77544746 -27.05190855 -26.88802125
 -26.9083283  -26.96166168 -27.10808672 -26.94239466 -27.08472151
 -27.03639563 -27.06005129 -27.11033716 -26.92866308 -26.76663763
 -26.85658009 -26.9341371  -26.98431668 -26.83135964 -26.94466601
 -27.06883388 -27.07817663 -26.80258435 -27.01168446 -26.82828669
 -27.1200977  -27.02069141 -26.96212644 -26.85717258 -26.90108349
 -26.92405558 -26.95019361 -26.99968443 -26.90894039 -27.0781702
 -26.93544432 -26.93628215 -27.03398755 -26.7915671  -27.21731327
 -26.95020458 -26.86345489 -27.0164075  -27.01172552 -26.98320485
 -26.91496724 -27.07743686 -26.8492553  -26.89939558 -27.07515026
 -26.83029886 -26.77177194 -27.03738895 -26.79543824 -26.94117549
 -26.94424236 -26.77666029 -26.92535842 -26.92959727 -26.97228239
 -27.01587301 -26.80850217 -26.8865766  -26.86673647 -26.88822216
 -27.02250595 -26.82868818 -26.9850775  -26.89355383 -26.83829635
 -27.05599294 -27.03382176 -27.09990486 -27.02881218 -27.05644777
 -27.07230567 -26.92790897 -26.75369168 -26.88727419 -26.96848644
 -26.97362549 -27.049211   -27.10478418 -26.82769489 -26.96071082
 -26.92391625 -26.87004478 -26.78804439 -26.89865211 -27.03399941]"
8,0.0,0.0,0.0,0.0,0.975,"[-27.10727239 -26.77634727 -26.9104456  -26.93852253 -26.90410002
 -26.83265293 -26.89363186 -26.96294419 -26.94519618 -26.74369255
 -26.81288814 -26.8700072  -26.90334395 -27.05968695 -27.00400516
 -26.96587843 -26.90707325 -26.97303235 -26.88065414 -26.90846929
 -26.79527567 -27.01973241 -26.91631806 -26.69833068 -26.90417038
 -26.91304316 -26.98260456 -26.82143549 -26.93285781 -26.97389145
 -27.03097724 -26.94601928 -26.99667621 -26.99983461 -27.10457037
 -27.11993986 -26.84221187 -27.0346052  -26.92128893 -26.89637236
 -26.92522185 -27.03176633 -26.93625174 -26.90814032 -26.97964115
 -26.95349484 -26.90941141 -26.80506452 -26.88050975 -27.00933502
 -26.93115342 -26.99921281 -27.08694597 -26.95832206 -27.07171242
 -26.90603209 -26.97353616 -26.95404027 -26.90717984 -26.98847452
 -26.94267619 -26.99309911 -26.99976788 -27.12493921 -26.87420141
 -27.02056013 -26.95618114 -26.89313947 -26.8900266  -26.99791013
 -26.88617436 -26.83574625 -26.77544746 -27.05190855 -26.88802125
 -26.9083283  -26.96166168 -27.10808672 -26.94239466 -27.08472151
 -27.03639563 -27.06005129 -27.11033716 -26.92866308 -26.76663763
 -26.85658009 -26.9341371  -26.98431668 -26.83135964 -26.94466601
 -27.06883388 -27.07817663 -26.80258435 -27.01168446 -26.82828669
 -27.1200977  -27.02069141 -26.96212644 -26.85717258 -26.90108349
 -26.92405558 -26.95019361 -26.99968443 -26.90894039 -27.0781702
 -26.93544432 -26.93628215 -27.03398755 -26.7915671  -27.21731327
 -26.95020458 -26.86345489 -27.0164075  -27.01172552 -26.98320485
 -26.91496724 -27.07743686 -26.8492553  -26.89939558 -27.07515026
 -26.83029886 -26.77177194 -27.03738895 -26.79543824 -26.94117549
 -26.94424236 -26.77666029 -26.92535842 -26.92959727 -26.97228239
 -27.01587301 -26.80850217 -26.8865766  -26.86673647 -26.88822216
 -27.02250595 -26.82868818 -26.9850775  -26.89355383 -26.83829635
 -27.05599294 -27.03382176 -27.09990486 -27.02881218 -27.05644777
 -27.07230567 -26.92790897 -26.75369168 -26.88727419 -26.96848644
 -26.97362549 -27.049211   -27.10478418 -26.82769489 -26.96071082
 -26.92391625 -26.87004478 -26.78804439 -26.89865211 -27.03399941]"
9,0.0,0.0,0.0,0.0,0.975,"[-27.10727239 -26.77634727 -26.9104456  -26.93852253 -26.90410002
 -26.83265293 -26.89363186 -26.96294419 -26.94519618 -26.74369255
 -26.81288814 -26.8700072  -26.90334395 -27.05968695 -27.00400516
 -26.96587843 -26.90707325 -26.97303235 -26.88065414 -26.90846929
 -26.79527567 -27.01973241 -26.91631806 -26.69833068 -26.90417038
 -26.91304316 -26.98260456 -26.82143549 -26.93285781 -26.97389145
 -27.03097724 -26.94601928 -26.99667621 -26.99983461 -27.10457037
 -27.11993986 -26.84221187 -27.0346052  -26.92128893 -26.89637236
 -26.92522185 -27.03176633 -26.93625174 -26.90814032 -26.97964115
 -26.95349484 -26.90941141 -26.80506452 -26.88050975 -27.00933502
 -26.93115342 -26.99921281 -27.08694597 -26.95832206 -27.07171242
 -26.90603209 -26.97353616 -26.95404027 -26.90717984 -26.98847452
 -26.94267619 -26.99309911 -26.99976788 -27.12493921 -26.87420141
 -27.02056013 -26.95618114 -26.89313947 -26.8900266  -26.99791013
 -26.88617436 -26.83574625 -26.77544746 -27.05190855 -26.88802125
 -26.9083283  -26.96166168 -27.10808672 -26.94239466 -27.08472151
 -27.03639563 -27.06005129 -27.11033716 -26.92866308 -26.76663763
 -26.85658009 -26.9341371  -26.98431668 -26.83135964 -26.94466601
 -27.06883388 -27.07817663 -26.80258435 -27.01168446 -26.82828669
 -27.1200977  -27.02069141 -26.96212644 -26.85717258 -26.90108349
 -26.92405558 -26.95019361 -26.99968443 -26.90894039 -27.0781702
 -26.93544432 -26.93628215 -27.03398755 -26.7915671  -27.21731327
 -26.95020458 -26.86345489 -27.0164075  -27.01172552 -26.98320485
 -26.91496724 -27.07743686 -26.8492553  -26.89939558 -27.07515026
 -26.83029886 -26.77177194 -27.03738895 -26.79543824 -26.94117549
 -26.94424236 -26.77666029 -26.92535842 -26.92959727 -26.97228239
 -27.01587301 -26.80850217 -26.8865766  -26.86673647 -26.88822216
 -27.02250595 -26.82868818 -26.9850775  -26.89355383 -26.83829635
 -27.05599294 -27.03382176 -27.09990486 -27.02881218 -27.05644777
 -27.07230567 -26.92790897 -26.75369168 -26.88727419 -26.96848644
 -26.97362549 -27.049211   -27.10478418 -26.82769489 -26.96071082
 -26.92391625 -26.87004478 -26.78804439 -26.89865211 -27.03399941]"
10,0.0,0.0,0.0,0.0,0.975,"[-27.10727239 -26.77634727 -26.9104456  -26.93852253 -26.90410002
 -26.83265293 -26.89363186 -26.96294419 -26.94519618 -26.74369255
 -26.81288814 -26.8700072  -26.90334395 -27.05968695 -27.00400516
 -26.96587843 -26.90707325 -26.97303235 -26.88065414 -26.90846929
 -26.79527567 -27.01973241 -26.91631806 -26.69833068 -26.90417038
 -26.91304316 -26.98260456 -26.82143549 -26.93285781 -26.97389145
 -27.03097724 -26.94601928 -26.99667621 -26.99983461 -27.10457037
 -27.11993986 -26.84221187 -27.0346052  -26.92128893 -26.89637236
 -26.92522185 -27.03176633 -26.93625174 -26.90814032 -26.97964115
 -26.95349484 -26.90941141 -26.80506452 -26.88050975 -27.00933502
 -26.93115342 -26.99921281 -27.08694597 -26.95832206 -27.07171242
 -26.90603209 -26.97353616 -26.95404027 -26.90717984 -26.98847452
 -26.94267619 -26.99309911 -26.99976788 -27.12493921 -26.87420141
 -27.02056013 -26.95618114 -26.89313947 -26.8900266  -26.99791013
 -26.88617436 -26.83574625 -26.77544746 -27.05190855 -26.88802125
 -26.9083283  -26.96166168 -27.10808672 -26.94239466 -27.08472151
 -27.03639563 -27.06005129 -27.11033716 -26.92866308 -26.76663763
 -26.85658009 -26.9341371  -26.98431668 -26.83135964 -26.94466601
 -27.06883388 -27.07817663 -26.80258435 -27.01168446 -26.82828669
 -27.1200977  -27.02069141 -26.96212644 -26.85717258 -26.90108349
 -26.92405558 -26.95019361 -26.99968443 -26.90894039 -27.0781702
 -26.93544432 -26.93628215 -27.03398755 -26.7915671  -27.21731327
 -26.95020458 -26.86345489 -27.0164075  -27.01172552 -26.98320485
 -26.91496724 -27.07743686 -26.8492553  -26.89939558 -27.07515026
 -26.83029886 -26.77177194 -27.03738895 -26.79543824 -26.94117549
 -26.94424236 -26.77666029 -26.92535842 -26.92959727 -26.97228239
 -27.01587301 -26.80850217 -26.8865766  -26.86673647 -26.88822216
 -27.02250595 -26.82868818 -26.9850775  -26.89355383 -26.83829635
 -27.05599294 -27.03382176 -27.09990486 -27.02881218 -27.05644777
 -27.07230567 -26.92790897 -26.75369168 -26.88727419 -26.96848644
 -26.97362549 -27.049211   -27.10478418 -26.82769489 -26.96071082
 -26.92391625 -26.87004478 -26.78804439 -26.89865211 -27.03399941]"
