Iteration,Cost,Gradient Norm,Alpha Update Norm,Phi Update Norm,QSVC Accuracy,Phis
1,-3.4401025659770497,100.4278471484334,0.3132001259860747,1.0362117728257585,0.975,"[ 0.11623729  0.15699974  0.12309044  0.16065071  0.04924469 -0.00933757
  0.10992547  0.11727413  0.10144544 -0.09915695  0.12885411 -0.01666187
  0.0254068   0.03369431  0.14249604  0.10939829  0.07507206  0.14356875
  0.10842023  0.16818034  0.29781231  0.15004426  0.10532577  0.06443906
  0.20913495  0.25880057  0.07688967  0.05626678  0.11060961  0.07697995
  0.03535695  0.02372967  0.17193866  0.06327117  0.11517554 -0.03901227
  0.02721241  0.25048524  0.31423257 -0.02453345  0.16034497 -0.04393375
 -0.00780999  0.0257217   0.09297879  0.01608306  0.04225993  0.08444607
  0.01515528  0.08855377  0.13354251  0.11793705  0.2079553   0.27419865
  0.04694934  0.05802436  0.06652632 -0.05650397  0.00072802  0.10044832
 -0.10156531  0.2391188   0.14818379  0.17465778  0.35158281  0.0747149
 -0.06338254  0.0147871  -0.06464428  0.15903517  0.15896741 -0.02865371
  0.0948736   0.09758961  0.03281074  0.09824499  0.15490585  0.10684393
  0.06488125  0.0280008   0.10903864 -0.01664538  0.07671296  0.09880032
  0.00552108  0.05946714  0.09038207  0.1689386   0.11578573  0.10330827
 -0.01438386  0.14759086  0.06639572  0.13889935  0.10429993  0.11005937
  0.03195397  0.23825507  0.11063312  0.08463519  0.08251799  0.195908
  0.07542531 -0.01986265  0.11543937  0.05506748 -0.01423364  0.16052276
 -0.03874998  0.01646172  0.16660438  0.26066285  0.15794411 -0.04542104
  0.25520845  0.15468429  0.07469901  0.07515772  0.30002538  0.20598741
  0.10394477  0.1689827   0.15871479  0.20350421 -0.14611547  0.00853831
 -0.01105463  0.25051403  0.11363014  0.14211207  0.18151404 -0.04742425
  0.16698452  0.04373066  0.15392594 -0.21913297  0.21262019 -0.16295537
  0.25828511  0.21802399 -0.01565858  0.06202698  0.28465661  0.05603151
 -0.02712828 -0.09069177  0.00937949 -0.02230385 -0.04724463  0.1843834
 -0.03374383  0.0152671   0.16789945 -0.02453973  0.00462913  0.24014234
  0.18359328  0.01680015 -0.02712634  0.08419564]"
2,-4.697275202694602,53.11274394859745,0.5125478720164344,13.650381268879979,0.975,"[1.19539468 1.23615713 1.20224783 1.2398081  1.12840208 1.06981982
 1.18908286 1.19643152 1.18060283 0.98000045 1.2080115  1.06249553
 1.10456419 1.1128517  1.22165343 1.18855568 1.15422946 1.22272614
 1.18757762 1.24733774 1.3769697  1.22920165 1.18448316 1.14359645
 1.28829234 1.33795797 1.15604706 1.13542418 1.189767   1.15613734
 1.11451435 1.10288706 1.25109606 1.14242856 1.19433294 1.04014512
 1.10636981 1.32964263 1.39338996 1.05462394 1.23950237 1.03522365
 1.0713474  1.10487909 1.17213619 1.09524045 1.12141732 1.16360346
 1.09431268 1.16771116 1.21269991 1.19709445 1.28711269 1.35335604
 1.12610673 1.13718176 1.14568371 1.02265342 1.07988541 1.17960572
 0.97759208 1.3182762  1.22734118 1.25381518 1.43074021 1.15387229
 1.01577485 1.09394449 1.01451311 1.23819256 1.2381248  1.05050369
 1.17403099 1.176747   1.11196813 1.17740239 1.23406324 1.18600132
 1.14403865 1.1071582  1.18819604 1.06251201 1.15587036 1.17795771
 1.08467847 1.13862453 1.16953946 1.248096   1.19494313 1.18246566
 1.06477353 1.22674825 1.14555311 1.21805675 1.18345732 1.18921676
 1.11111137 1.31741247 1.18979052 1.16379258 1.16167539 1.2750654
 1.1545827  1.05929474 1.19459677 1.13422487 1.06492375 1.23968015
 1.04040741 1.09561911 1.24576177 1.33982024 1.2371015  1.03373635
 1.33436585 1.23384169 1.1538564  1.15431511 1.37918277 1.2851448
 1.18310217 1.24814009 1.23787218 1.2826616  0.93304193 1.0876957
 1.06810276 1.32967143 1.19278753 1.22126946 1.26067143 1.03173314
 1.24614192 1.12288805 1.23308333 0.86002442 1.29177758 0.91620203
 1.33744251 1.29718138 1.06349882 1.14118438 1.36381401 1.1351889
 1.05202911 0.98846562 1.08853688 1.05685354 1.03191276 1.26354079
 1.04541356 1.0944245  1.24705684 1.05461766 1.08378652 1.31929973
 1.26275068 1.09595755 1.05203105 1.16335304]"
3,137.1603882326189,76.70758115561914,5.0803983831712385,1110.3290736326258,0.975,"[88.9746153  89.01537776 88.98146846 89.01902873 88.9076227  88.84904045
 88.96830349 88.97565215 88.95982346 88.75922107 88.98723213 88.84171615
 88.88378482 88.89207233 89.00087406 88.96777631 88.93345008 89.00194677
 88.96679825 89.02655836 89.15619032 89.00842228 88.96370379 88.92281707
 89.06751297 89.11717859 88.93526769 88.9146448  88.96898763 88.93535796
 88.89373497 88.88210769 89.03031668 88.92164919 88.97355356 88.81936575
 88.88559043 89.10886326 89.17261059 88.83384456 89.01872299 88.81444427
 88.85056803 88.88409971 88.95135681 88.87446108 88.90063795 88.94282409
 88.8735333  88.94693179 88.99192053 88.97631507 89.06633332 89.13257666
 88.90532735 88.91640238 88.92490434 88.80187405 88.85910604 88.95882634
 88.75681271 89.09749682 89.0065618  89.0330358  89.20996083 88.93309292
 88.79499548 88.87316512 88.79373374 89.01741319 89.01734543 88.82972431
 88.95325162 88.95596763 88.89118875 88.95662301 89.01328386 88.96522195
 88.92325927 88.88637882 88.96741666 88.84173264 88.93509098 88.95717834
 88.8638991  88.91784516 88.94876008 89.02731662 88.97416375 88.96168629
 88.84399415 89.00596888 88.92477374 88.99727737 88.96267795 88.96843739
 88.89033199 89.09663309 88.96901114 88.94301321 88.94089601 89.05428602
 88.93380333 88.83851537 88.97381739 88.91344549 88.84414437 89.01890078
 88.81962803 88.87483974 89.0249824  89.11904086 89.01632213 88.81295698
 89.11358647 89.01306231 88.93307703 88.93353574 89.1584034  89.06436542
 88.96232279 89.02736071 89.0170928  89.06188223 88.71226255 88.86691633
 88.84732339 89.10889205 88.97200816 89.00049009 89.03989205 88.81095377
 89.02536254 88.90210868 89.01230396 88.63924505 89.07099821 88.69542265
 89.11666313 89.07640201 88.84271944 88.920405   89.14303463 88.91440953
 88.83124974 88.76768625 88.8677575  88.83607416 88.81113338 89.04276142
 88.82463419 88.87364512 89.02627746 88.83383828 88.86300714 89.09852035
 89.0419713  88.87517817 88.83125168 88.94257366]"
4,210.3061327414013,855.6438896157141,1.3711022784854752,14721271.836275185,0.975,"[1163907.70104328 1163907.74180573 1163907.70789643 1163907.7454567
 1163907.63405068 1163907.57546842 1163907.69473146 1163907.70208012
 1163907.68625143 1163907.48564905 1163907.7136601  1163907.56814412
 1163907.61021279 1163907.6185003  1163907.72730203 1163907.69420428
 1163907.65987806 1163907.72837474 1163907.69322622 1163907.75298633
 1163907.8826183  1163907.73485025 1163907.69013176 1163907.64924505
 1163907.79394094 1163907.84360657 1163907.66169566 1163907.64107278
 1163907.6954156  1163907.66178594 1163907.62016295 1163907.60853566
 1163907.75674466 1163907.64807716 1163907.69998153 1163907.54579372
 1163907.61201841 1163907.83529123 1163907.89903856 1163907.56027254
 1163907.74515096 1163907.54087224 1163907.576996   1163907.61052769
 1163907.67778478 1163907.60088905 1163907.62706592 1163907.66925206
 1163907.59996127 1163907.67335976 1163907.7183485  1163907.70274304
 1163907.79276129 1163907.85900464 1163907.63175533 1163907.64283036
 1163907.65133231 1163907.52830202 1163907.58553401 1163907.68525432
 1163907.48324068 1163907.8239248  1163907.73298978 1163907.75946378
 1163907.93638881 1163907.65952089 1163907.52142345 1163907.59959309
 1163907.52016171 1163907.74384116 1163907.7437734  1163907.55615228
 1163907.67967959 1163907.6823956  1163907.61761673 1163907.68305098
 1163907.73971184 1163907.69164992 1163907.64968725 1163907.61280679
 1163907.69384463 1163907.56816061 1163907.66151895 1163907.68360631
 1163907.59032707 1163907.64427313 1163907.67518806 1163907.75374459
 1163907.70059172 1163907.68811426 1163907.57042213 1163907.73239685
 1163907.65120171 1163907.72370534 1163907.68910592 1163907.69486536
 1163907.61675997 1163907.82306107 1163907.69543911 1163907.66944118
 1163907.66732398 1163907.78071399 1163907.6602313  1163907.56494334
 1163907.70024537 1163907.63987347 1163907.57057235 1163907.74532875
 1163907.54605601 1163907.60126771 1163907.75141037 1163907.84546884
 1163907.7427501  1163907.53938495 1163907.84001444 1163907.73949029
 1163907.659505   1163907.65996371 1163907.88483137 1163907.7907934
 1163907.68875077 1163907.75378869 1163907.74352078 1163907.7883102
 1163907.43869052 1163907.5933443  1163907.57375136 1163907.83532003
 1163907.69843613 1163907.72691806 1163907.76632003 1163907.53738174
 1163907.75179051 1163907.62853665 1163907.73873193 1163907.36567302
 1163907.79742618 1163907.42185063 1163907.8430911  1163907.80282998
 1163907.56914742 1163907.64683297 1163907.8694626  1163907.6408375
 1163907.55767771 1163907.49411422 1163907.59418548 1163907.56250214
 1163907.53756136 1163907.76918939 1163907.55106216 1163907.60007309
 1163907.75270544 1163907.56026626 1163907.58943512 1163907.82494833
 1163907.76839928 1163907.60160615 1163907.55767965 1163907.66900164]"
5,210.3061327414013,992.2117766426608,0.0,177735756092691.4,0.975,"[1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13
 1.40512464e+13 1.40512464e+13 1.40512464e+13 1.40512464e+13]"
6,210.3061327414013,992.2117766426608,0.0,3.250854883503806e+25,0.975,"[2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24
 2.57002644e+24 2.57002644e+24 2.57002644e+24 2.57002644e+24]"
7,210.3061327414013,992.2117766426608,0.0,7.177744803109266e+43,0.975,"[5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42
 5.67450551e+42 5.67450551e+42 5.67450551e+42 5.67450551e+42]"
8,210.3061327414013,992.2117766426608,0.0,2.8986858388006663e+73,0.975,"[2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72
 2.29161237e+72 2.29161237e+72 2.29161237e+72 2.29161237e+72]"
9,210.3061327414013,992.2117766426608,0.0,2.5846676929840275e+121,0.975,"[2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120
 2.04335923e+120 2.04335923e+120 2.04335923e+120 2.04335923e+120]"
10,210.3061327414013,992.2117766426608,0.0,inf,0.975,"[7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197
 7.3580278e+197 7.3580278e+197 7.3580278e+197 7.3580278e+197]"
