Iteration,Objective Function Value,Training Accuracy,Test Accuracy,Learning Rate,Perturbation
1,1.0161469305250972,55.00000000000001,56.00000000000001,0.25620723055282796,0.25620723055282796
2,1.0231298585517932,53.0,52.0,0.3807832896877315,0.3807832896877315
3,1.023610997499421,52.0,50.0,0.5210238851097443,0.5210238851097443
4,1.0175786948941328,53.0,56.00000000000001,0.6685312681215925,0.6685312681215925
5,1.0175253619397708,56.00000000000001,56.00000000000001,0.8115036175739033,0.8115036175739033
6,1.0265369090361929,56.00000000000001,54.0,0.9478821791584942,0.9478821791584942
7,1.0157863172646926,55.00000000000001,56.00000000000001,1.0,1.0
8,1.0202571908170972,56.00000000000001,52.0,1.0,1.0
9,1.016317010774907,56.00000000000001,56.00000000000001,1.0,1.0
10,1.0194232680104702,50.0,54.0,1.0,1.0
