Iteration,Objective Function Value,Training Accuracy,Test Accuracy,Learning Rate,Perturbation
1,0.41450237451385524,96.0,100.0,0.2631082539010946,0.2631082539010946
2,0.40184427931029737,100.0,100.0,0.3723602476841483,0.3723602476841483
3,0.4030312104190175,100.0,100.0,0.48793867086018483,0.48793867086018483
4,0.4019832627753734,100.0,100.0,0.6030486935679137,0.6030486935679137
5,0.40666878414238994,100.0,96.66666666666667,0.7290569507575443,0.7290569507575443
6,0.4052425149105958,100.0,100.0,0.8477740515475709,0.8477740515475709
7,0.4066768828965294,100.0,100.0,0.9777067784845958,0.9777067784845958
8,0.40316492032318024,100.0,100.0,1.0,1.0
9,0.40602233208052574,100.0,100.0,1.0,1.0
10,0.40226482714150613,100.0,100.0,1.0,1.0
