Iteration,Objective Function Value,Training Accuracy,Test Accuracy,Learning Rate,Perturbation
1,0.9734768511827505,66.5,68.0,0.30934177544823144,0.30934177544823144
2,0.6910837839609434,91.0,81.0,0.5731516408040149,0.5731516408040149
3,0.6839609152056971,91.0,81.0,0.8622411802459009,0.8622411802459009
4,0.8828441229055375,70.5,66.0,1.0,1.0
5,0.8843496848790641,62.74999999999999,68.0,1.0,1.0
6,0.8562695164502986,72.5,76.0,1.0,1.0
7,0.7207067942284031,90.75,86.0,1.0,1.0
8,0.6859777274170427,92.0,83.0,1.0,1.0
9,0.6967361350530118,92.75,89.0,1.0,1.0
10,0.8600962650726415,71.75,78.0,1.0,1.0
